RE	TG	Weight
chr1_567819_568407	OR4F3	0.463715
chr1_859046_859325	AGRN	0.27566
chr1_859046_859325	GNB1	0.452062
chr1_859046_859325	ISG15	-0.24941
chr1_859046_859325	SAMD11	0.26121
chr1_935330_935745	AGRN	0.24961
chr1_935330_935745	CALML6	0.43385
chr1_935330_935745	GNB1	0.461871
chr1_935330_935745	ISG15	-0.435505
chr1_935330_935745	SAMD11	0.21739
chr1_935791_936414	AGRN	0.24961
chr1_935791_936414	CALML6	0.43385
chr1_935791_936414	GNB1	0.461871
chr1_935791_936414	ISG15	-0.435505
chr1_935791_936414	SAMD11	0.21739
chr1_954605_955498	AGRN	0.33215
chr1_954605_955498	GNB1	0.431521
chr1_954605_955498	SAMD11	0.33112
chr1_968191_968397	AGRN	0.30364
chr1_1015563_1015780	AGRN	0.21328
chr1_1051165_1051941	GNB1	0.450757
chr1_1092791_1093010	AGRN	0.453067
chr1_1093321_1093530	AGRN	0.453067
chr1_1259876_1260301	MXRA8	-0.20918
chr1_1284498_1284970	MXRA8	0.2369
chr1_1293844_1294078	CALML6	0.425885
chr1_1293844_1294078	MXRA8	0.34944
chr1_1295957_1296179	CALML6	0.425885
chr1_1295957_1296179	MXRA8	0.39722
chr1_1310410_1310980	GNB1	0.436171
chr1_1365675_1365878	CALML6	0.55474
chr1_1365675_1365878	ISG15	-0.532113
chr1_1365675_1365878	MMP23B	0.458698
chr1_1406839_1407370	GNB1	0.44116
chr1_1406839_1407370	RER1	0.444497
chr1_1446923_1447775	GNB1	0.470385
chr1_1509568_1510574	GNB1	0.452296
chr1_1550493_1551330	SLC35E2B	0.28482
chr1_1566204_1566526	CALML6	0.472164
chr1_1566204_1566526	SLC35E2B	0.30526
chr1_1590133_1590913	CDK11B	0.24001
chr1_1590133_1590913	SLC35E2B	0.21333
chr1_1617632_1617908	ISG15	0.403509
chr1_1617632_1617908	SLC35E2B	-0.22272
chr1_1672463_1672663	SLC35E2B	-0.28105
chr1_1677849_1678343	SLC35E2B	-0.23232
chr1_1790087_1790377	CALML6	0.23899
chr1_1790087_1790377	GNB1	0.37589
chr1_1822401_1822691	GNB1	0.25735
chr1_1850604_1850984	GNB1	0.26112
chr1_1851019_1851224	GNB1	0.26112
chr1_2064466_2064835	GNB1	0.600511
chr1_2064901_2065162	GNB1	0.600511
chr1_2064901_2065162	SKI	0.34476
chr1_2066854_2067178	GNB1	0.600511
chr1_2066854_2067178	SKI	0.25279
