RE	TG	Weight
chr1_840016_840302	GNB1	0.466351
chr1_840016_840302	NADK	-0.422763
chr1_840558_841003	GNB1	0.407437
chr1_840558_841003	ISG15	-0.51136
chr1_840558_841003	NADK	-0.526215
chr1_856552_856913	AGRN	0.41476
chr1_856552_856913	GNB1	0.441108
chr1_856552_856913	ISG15	-0.550448
chr1_856552_856913	NADK	-0.532285
chr1_894499_894906	ISG15	0.22522
chr1_911434_911951	AGRN	0.34453
chr1_935942_936505	AGRN	0.24961
chr1_935942_936505	CALML6	0.43385
chr1_935942_936505	GNB1	0.461871
chr1_935942_936505	ISG15	-0.435505
chr1_935942_936505	NADK	-0.608391
chr1_948472_949162	NADK	-0.454951
chr1_954606_955073	AGRN	0.33215
chr1_954606_955073	GNB1	0.431521
chr1_954606_955073	NADK	-0.429614
chr1_968307_968910	AGRN	0.21849
chr1_968307_968910	ISG15	-0.22501
chr1_976136_976372	NOC2L	0.33562
chr1_1005308_1005619	AGRN	0.31137
chr1_1014855_1015751	AGRN	0.21328
chr1_1051347_1051941	GNB1	0.450757
chr1_1071788_1073244	CCNL2	0.42561
chr1_1071788_1073244	SLC35E2B	0.404041
chr1_1092931_1093775	AGRN	0.453067
chr1_1107097_1107805	ISG15	0.402438
chr1_1141886_1142279	CALML6	0.467837
chr1_1186352_1186631	ISG15	0.427455
chr1_1310525_1311087	GNB1	0.436171
chr1_1370746_1371072	CALML6	0.55474
chr1_1370746_1371072	ISG15	-0.532113
chr1_1370746_1371072	NADK	-0.496793
chr1_1376146_1376606	CALML6	0.434447
chr1_1406551_1407244	GNB1	0.44116
chr1_1406551_1407244	RER1	0.444497
chr1_1447026_1447644	GNB1	0.470385
chr1_1509763_1510798	GNB1	0.452296
chr1_1509763_1510798	NADK	-0.401597
chr1_1542524_1542793	AGRN	-0.418725
chr1_1550373_1551311	SLC35E2B	0.28482
chr1_1565628_1566045	CALML6	0.472164
chr1_1565628_1566045	CDK11A	0.20414
chr1_1565628_1566045	CDK11B	0.24086
chr1_1565628_1566045	NADK	-0.52694
chr1_1565628_1566045	SLC35E2B	0.41197
chr1_1590328_1590788	CDK11B	0.24001
chr1_1590328_1590788	SLC35E2B	0.21333
chr1_1597013_1597217	NADK	0.25582
chr1_1609128_1609890	CDK11A	0.3279
chr1_1609128_1609890	SLC35E2B	0.29844
chr1_1707083_1707301	NADK	0.20206
chr1_1711727_1712109	CDK11A	0.21145
chr1_1711727_1712109	NADK	0.23806
chr1_1765011_1765218	NADK	0.28393
chr1_1765265_1765951	GNB1	0.24281
chr1_1774334_1774579	CALML6	0.30449
chr1_1774334_1774579	GNB1	-0.20768
chr1_1822411_1822947	GNB1	0.25735
chr1_1837654_1837938	GNB1	0.38552
chr1_1850444_1851442	GNB1	-0.35614
chr1_1875488_1875824	GNB1	0.23557
chr1_1875488_1875824	PRKCZ	0.443901
chr1_1981336_1981933	PRKCZ	0.28139
chr1_2043739_2044169	PRKCZ	0.28382
chr1_2052805_2053005	PRKCZ	0.2119
chr1_2064375_2065347	GNB1	0.600511
chr1_2064375_2065347	SKI	0.34476
chr1_2071212_2071659	GNB1	0.600511
chr1_2105717_2105933	CALML6	0.554458
chr1_2126195_2126996	NADK	-0.454122
chr1_2135999_2136448	CALML6	0.421947
chr1_2135999_2136448	NADK	-0.442924
chr1_2135999_2136448	SKI	0.39923
chr1_2136592_2137102	CALML6	0.421947
chr1_2136592_2137102	NADK	-0.442924
chr1_2143967_2144401	CALML6	0.428246
chr1_2143967_2144401	NADK	-0.520665
chr1_2143967_2144401	SKI	0.21947
chr1_2221962_2222507	RER1	0.2002
chr1_2242998_2243305	CALML6	0.659239
chr1_2242998_2243305	NADK	-0.577618
chr1_2242998_2243305	PRKCZ	-0.413035
chr1_2242998_2243305	RER1	-0.27315
chr1_2242998_2243305	SKI	0.32311
chr1_2313215_2313543	CALML6	0.519526
chr1_2313215_2313543	RER1	0.34198
chr1_2322895_2323370	RER1	0.31885
chr1_2343872_2344424	RER1	0.31161
chr1_2345868_2346163	RER1	0.20745
chr1_3541069_3541654	TPRG1L	0.37049
