RE	TG	Weight
chr1_565084_565458	NOC2L	0.463565
chr1_713148_713404	DVL1	-0.403956
chr1_713790_714690	DVL1	-0.403956
chr1_752367_752766	PUSL1	-0.410281
chr1_753272_753626	PUSL1	-0.410281
chr1_754094_754315	PUSL1	-0.410281
chr1_754350_754688	PUSL1	-0.410281
chr1_805053_805654	MXRA8	-0.43054
chr1_805053_805654	VWA1	-0.496724
chr1_839723_840311	DVL1	-0.461478
chr1_839723_840311	GNB1	0.466351
chr1_839723_840311	NADK	-0.422763
chr1_839723_840311	PUSL1	-0.44313
chr1_839723_840311	SAMD11	0.33882
chr1_840521_841156	AURKAIP1	-0.489111
chr1_840521_841156	DVL1	-0.576037
chr1_840521_841156	GNB1	0.407437
chr1_840521_841156	NADK	-0.526215
chr1_840521_841156	PUSL1	-0.657991
chr1_840521_841156	SAMD11	0.33882
chr1_852002_852576	SAMD11	0.6418
chr1_856439_856757	AGRN	0.41476
chr1_856439_856757	AURKAIP1	-0.493575
chr1_856439_856757	DVL1	-0.590596
chr1_856439_856757	GNB1	0.441108
chr1_856439_856757	NADK	-0.532285
chr1_856439_856757	PUSL1	-0.67499
chr1_856439_856757	SAMD11	0.55327
chr1_859027_859343	AGRN	0.27566
chr1_859027_859343	DVL1	-0.427888
chr1_859027_859343	GNB1	0.452062
chr1_859027_859343	NADK	-0.425388
chr1_859027_859343	PUSL1	-0.421251
chr1_859027_859343	SAMD11	0.26121
chr1_860115_860553	AGRN	0.29983
chr1_860115_860553	AURKAIP1	-0.431154
chr1_860115_860553	DVL1	-0.477802
chr1_860115_860553	NADK	-0.509492
chr1_860115_860553	PUSL1	-0.587597
chr1_860115_860553	SAMD11	0.33857
chr1_860959_861254	AGRN	0.40286
chr1_860959_861254	AURKAIP1	-0.448422
chr1_860959_861254	DVL1	-0.559007
chr1_860959_861254	GNB1	0.434987
chr1_860959_861254	NADK	-0.492604
chr1_860959_861254	PUSL1	-0.539638
chr1_860959_861254	SAMD11	0.26541
chr1_875629_875971	AGRN	0.40956
chr1_875629_875971	AURKAIP1	-0.512421
chr1_875629_875971	DVL1	-0.560736
chr1_875629_875971	GNB1	0.409833
