RE	TG	Weight
chr1_564945_565406	ATAD3A	0.412529
chr1_567820_568474	OR4F3	0.463715
chr1_713807_714406	DVL1	-0.403956
chr1_769419_769841	SAMD11	-0.31261
chr1_805054_805398	MXRA8	-0.43054
chr1_805054_805398	VWA1	-0.496724
chr1_817483_817760	SAMD11	0.20895
chr1_839985_840238	DVL1	-0.461478
chr1_839985_840238	GNB1	0.466351
chr1_839985_840238	NADK	-0.422763
chr1_839985_840238	SAMD11	0.33882
chr1_840720_840949	AURKAIP1	-0.489111
chr1_840720_840949	DVL1	-0.576037
chr1_840720_840949	GNB1	0.407437
chr1_840720_840949	NADK	-0.526215
chr1_840720_840949	SAMD11	0.33882
chr1_840720_840949	SSU72	-0.453403
chr1_859094_859331	AGRN	0.27566
chr1_859094_859331	DVL1	-0.427888
chr1_859094_859331	GNB1	0.452062
chr1_859094_859331	NADK	-0.425388
chr1_859094_859331	SAMD11	0.26121
chr1_876903_877178	AGRN	0.34676
chr1_876903_877178	AURKAIP1	-0.512421
chr1_876903_877178	DVL1	-0.560736
chr1_876903_877178	GNB1	0.409833
chr1_876903_877178	MXRA8	0.425778
chr1_876903_877178	NADK	-0.493352
chr1_876903_877178	SAMD11	0.43236
chr1_876903_877178	SLC35E2B	0.416389
chr1_876903_877178	SSU72	-0.427361
chr1_902234_902636	AGRN	0.29086
chr1_911408_911669	AGRN	0.34453
chr1_911408_911669	SAMD11	0.30237
chr1_935418_935657	AGRN	0.24961
chr1_935418_935657	AURKAIP1	-0.476159
chr1_935418_935657	DVL1	-0.545365
chr1_935418_935657	GNB1	0.461871
chr1_935418_935657	NADK	-0.608391
chr1_935418_935657	SAMD11	0.21739
chr1_935957_936351	AGRN	0.24961
chr1_935957_936351	AURKAIP1	-0.476159
chr1_935957_936351	DVL1	-0.545365
chr1_935957_936351	GNB1	0.461871
chr1_935957_936351	NADK	-0.608391
chr1_935957_936351	SAMD11	0.21739
chr1_937208_937443	AGRN	0.28504
chr1_937208_937443	AURKAIP1	-0.476159
chr1_937208_937443	DVL1	-0.545365
chr1_937208_937443	GNB1	0.461871
chr1_937208_937443	NADK	-0.608391
chr1_948574_949340	AURKAIP1	-0.446229
chr1_948574_949340	DVL1	-0.557048
chr1_948574_949340	NADK	-0.454951
chr1_954609_955226	AGRN	0.33215
chr1_954609_955226	DVL1	-0.459837
chr1_954609_955226	GNB1	0.431521
chr1_954609_955226	NADK	-0.429614
chr1_954609_955226	SAMD11	0.33112
chr1_968365_968670	AGRN	0.21849
chr1_968365_968670	DVL1	-0.440237
chr1_976097_976380	VWA1	-0.401362
chr1_1014836_1015340	AGRN	0.38378
chr1_1015343_1015917	AGRN	0.21328
chr1_1051308_1051923	GNB1	0.450757
chr1_1057416_1057796	DVL1	-0.409631
chr1_1073260_1073491	MRPL20	-0.410512
chr1_1073260_1073491	SLC35E2B	0.404041
chr1_1073260_1073491	SSU72	-0.403826
chr1_1092780_1093255	AGRN	0.453067
chr1_1093373_1093858	AGRN	0.453067
chr1_1216255_1216584	DVL1	0.36358
chr1_1216255_1216584	NADK	0.47326
chr1_1227227_1227624	DVL1	-0.24645
chr1_1243232_1244118	DVL1	-0.30113
chr1_1253665_1253936	AURKAIP1	0.25025
chr1_1253665_1253936	DVL1	0.21396
chr1_1253665_1253936	MRPL20	0.20174
chr1_1253665_1253936	SLC35E2B	-0.412064
chr1_1259803_1260441	ANKRD65	-0.23336
chr1_1259803_1260441	MXRA8	-0.20918
chr1_1285070_1285270	DVL1	-0.23269
chr1_1285070_1285270	MXRA8	0.2369
chr1_1287499_1287742	ANKRD65	0.23002
chr1_1287499_1287742	MXRA8	0.20841
chr1_1287499_1287742	NADK	-0.401185
chr1_1287499_1287742	SKI	0.41258
chr1_1293823_1294192	AURKAIP1	-0.26853
chr1_1293823_1294192	DVL1	-0.36693
chr1_1293823_1294192	MXRA8	0.34944
chr1_1293823_1294192	NADK	-0.408636
chr1_1295134_1295346	DVL1	-0.26526
chr1_1295134_1295346	MXRA8	0.38107
chr1_1295134_1295346	NADK	-0.408636
chr1_1295866_1296181	MXRA8	0.38107
chr1_1295866_1296181	NADK	-0.408636
chr1_1296993_1297200	MXRA8	0.39617
chr1_1296993_1297200	NADK	-0.408636
chr1_1297367_1297654	DVL1	-0.26182
chr1_1297367_1297654	MXRA8	0.39617
chr1_1297367_1297654	NADK	-0.408636
chr1_1307486_1307697	VWA1	-0.409709
chr1_1310412_1311055	GNB1	0.436171
chr1_1334453_1335457	ANKRD65	-0.23841
chr1_1334453_1335457	AURKAIP1	0.22553
chr1_1334453_1335457	DVL1	-0.21228
chr1_1342413_1342867	ANKRD65	-0.29096
chr1_1342413_1342867	AURKAIP1	-0.20391
chr1_1342413_1342867	DVL1	-0.407818
chr1_1354387_1354593	ANKRD65	0.31699
chr1_1354387_1354593	AURKAIP1	-0.28867
chr1_1355041_1355245	ANKRD65	0.28339
chr1_1355041_1355245	ATAD3A	-0.3276
chr1_1355041_1355245	AURKAIP1	-0.28867
chr1_1362679_1362886	AURKAIP1	-0.27667
chr1_1362679_1362886	DVL1	-0.29082
chr1_1365659_1366054	ANKRD65	0.29304
chr1_1365659_1366054	ATAD3A	-0.3617
chr1_1365659_1366054	AURKAIP1	-0.32682
chr1_1365659_1366054	DVL1	-0.30593
chr1_1365659_1366054	MMP23B	0.458698
chr1_1365659_1366054	MXRA8	0.24543
chr1_1365659_1366054	NADK	-0.496793
chr1_1365659_1366054	VWA1	0.20376
chr1_1368483_1368857	ANKRD65	0.30463
chr1_1368483_1368857	ATAD3A	-0.21258
chr1_1368483_1368857	AURKAIP1	-0.21913
chr1_1368483_1368857	MMP23B	0.458698
chr1_1368483_1368857	NADK	-0.496793
chr1_1368483_1368857	VWA1	0.30068
