RE	TG	Weight
chr1_776704_776976	SAMD11	-0.26124
chr1_778076_778331	SAMD11	-0.30332
chr1_839718_840366	GNB1	0.466351
chr1_839718_840366	SAMD11	0.33882
chr1_840533_840881	AURKAIP1	-0.489111
chr1_840533_840881	GNB1	0.407437
chr1_840533_840881	ISG15	-0.51136
chr1_840533_840881	SAMD11	0.33882
chr1_856467_856767	AGRN	0.41476
chr1_856467_856767	AURKAIP1	-0.493575
chr1_856467_856767	GNB1	0.441108
chr1_856467_856767	ISG15	-0.550448
chr1_856467_856767	SAMD11	0.55327
chr1_858730_859460	AGRN	0.27566
chr1_858730_859460	AURKAIP1	-0.431154
chr1_858730_859460	GNB1	0.452062
chr1_858730_859460	ISG15	-0.53117
chr1_858730_859460	SAMD11	0.26121
chr1_860973_861174	AGRN	0.40286
chr1_860973_861174	AURKAIP1	-0.448422
chr1_860973_861174	GNB1	0.434987
chr1_860973_861174	ISG15	-0.465195
chr1_860973_861174	SAMD11	0.26541
chr1_875633_876221	AGRN	0.40956
chr1_875633_876221	AURKAIP1	-0.512421
chr1_875633_876221	GNB1	0.409833
chr1_875633_876221	ISG15	-0.55738
chr1_875633_876221	SAMD11	0.43236
chr1_875633_876221	SLC35E2B	0.416389
chr1_876723_877421	AGRN	0.34676
chr1_876723_877421	AURKAIP1	-0.512421
chr1_876723_877421	GNB1	0.409833
chr1_876723_877421	ISG15	-0.55738
chr1_876723_877421	SAMD11	0.43236
chr1_876723_877421	SLC35E2B	0.416389
chr1_894339_896423	ISG15	0.22522
chr1_894339_896423	NOC2L	0.20854
chr1_901792_902611	AGRN	0.29086
chr1_901792_902611	ISG15	0.38872
chr1_911309_912065	AGRN	0.34453
chr1_911309_912065	SAMD11	0.30237
chr1_934282_935164	AGRN	0.23247
chr1_934282_935164	AURKAIP1	-0.476159
chr1_934282_935164	CALML6	0.43385
chr1_934282_935164	GNB1	0.461871
chr1_934282_935164	ISG15	-0.435505
chr1_934282_935164	SAMD11	0.21739
chr1_935379_936623	AGRN	0.24961
chr1_935379_936623	AURKAIP1	-0.476159
chr1_935379_936623	CALML6	0.43385
chr1_935379_936623	GNB1	0.461871
chr1_935379_936623	ISG15	-0.435505
chr1_935379_936623	SAMD11	0.21739
chr1_937238_937472	AGRN	0.28504
chr1_937238_937472	AURKAIP1	-0.476159
chr1_937238_937472	CALML6	0.43385
chr1_937238_937472	GNB1	0.461871
chr1_937238_937472	ISG15	-0.435505
chr1_948345_949957	AURKAIP1	-0.446229
chr1_954545_956390	AGRN	0.33215
chr1_954545_956390	GNB1	0.431521
chr1_954545_956390	SAMD11	0.27249
chr1_968175_968968	AGRN	0.21849
chr1_968175_968968	ISG15	-0.22501
chr1_975629_977000	NOC2L	0.33562
chr1_994352_995320	AGRN	0.45705
chr1_994352_995320	ISG15	0.53276
chr1_1003972_1005522	AGRN	0.31137
chr1_1014792_1015775	AGRN	0.21328
chr1_1014792_1015775	ISG15	0.21063
chr1_1051008_1052432	GNB1	0.450757
chr1_1071947_1073211	SLC35E2B	0.404041
chr1_1092522_1093963	AGRN	0.453067
chr1_1107201_1107868	ISG15	0.402438
chr1_1108965_1109522	SAMD11	0.522994
chr1_1141896_1142160	CALML6	0.467837
chr1_1143377_1144069	CALML6	0.467837
chr1_1144335_1144589	CALML6	0.467837
chr1_1148178_1149214	AGRN	-0.403038
chr1_1149354_1149657	AGRN	-0.403038
chr1_1150587_1150839	AGRN	-0.403038
chr1_1152492_1152699	AGRN	-0.403038
chr1_1186136_1186762	ISG15	0.427455
chr1_1225573_1225900	AURKAIP1	0.23434
chr1_1228993_1229437	AURKAIP1	0.3484
chr1_1259599_1260723	AURKAIP1	0.30402
chr1_1273148_1273442	AURKAIP1	0.27111
chr1_1290951_1291180	AURKAIP1	-0.21763
chr1_1294708_1294997	CALML6	0.425885
chr1_1310339_1311121	GNB1	0.436171
chr1_1334339_1335773	AURKAIP1	0.22553
chr1_1342211_1343463	AURKAIP1	-0.20391
chr1_1354681_1354886	AURKAIP1	-0.28867
chr1_1355199_1356042	AURKAIP1	-0.28867
chr1_1355199_1356042	ISG15	-0.422069
chr1_1362084_1362372	AURKAIP1	-0.3084
chr1_1362623_1363112	AGRN	0.411061
chr1_1362623_1363112	AURKAIP1	-0.27667
chr1_1362623_1363112	ISG15	-0.400557
chr1_1362623_1363112	SAMD11	0.506347
chr1_1370671_1371210	CALML6	0.55474
chr1_1370671_1371210	ISG15	-0.532113
chr1_1370671_1371210	MMP23B	0.458698
chr1_1376070_1376690	CALML6	0.434447
chr1_1397638_1398318	AURKAIP1	0.22559
chr1_1406336_1407333	GNB1	0.44116
chr1_1406336_1407333	RER1	0.444497
chr1_1407470_1407755	AURKAIP1	0.23554
chr1_1407470_1407755	GNB1	0.44116
chr1_1407470_1407755	RER1	0.444497
chr1_1446819_1447720	GNB1	0.470385
chr1_1447880_1448105	GNB1	0.470385
chr1_1475467_1475731	ISG15	-0.403124
chr1_1475884_1476345	ISG15	-0.403124
chr1_1509243_1510872	GNB1	0.452296
chr1_1532733_1533295	MMP23B	-0.20467
chr1_1540540_1541963	AGRN	-0.418725
chr1_1542458_1542790	AGRN	-0.418725
chr1_1549614_1551758	SLC35E2B	0.28482
chr1_1564177_1567132	AURKAIP1	-0.477384
chr1_1564177_1567132	CALML6	0.472164
chr1_1564177_1567132	CDK11A	0.20414
chr1_1564177_1567132	CDK11B	0.24086
chr1_1564177_1567132	MMP23B	0.20502
chr1_1564177_1567132	SLC35E2B	0.30087
chr1_1572011_1572947	MMP23B	0.22224
chr1_1590243_1591041	CDK11B	0.24001
chr1_1590243_1591041	SLC35E2B	0.21333
chr1_1596987_1597686	MMP23B	0.22715
chr1_1608857_1610676	CDK11A	0.3279
chr1_1608857_1610676	SLC35E2B	0.29844
chr1_1625502_1626031	MMP23B	0.23726
chr1_1635221_1635645	SLC35E2B	-0.26968
chr1_1660067_1660334	SLC35E2B	-0.2838
chr1_1685160_1685678	SLC35E2B	-0.30751
chr1_1695731_1696036	SLC35E2B	-0.20282
chr1_1709536_1710841	CDK11A	-0.23211
chr1_1711537_1712198	CDK11A	0.21145
chr1_1720414_1720784	SLC35E2B	-0.20467
chr1_1727948_1728350	GNB1	-0.27836
chr1_1774298_1774561	CALML6	0.30449
chr1_1774298_1774561	GNB1	-0.20768
chr1_1790089_1790419	CALML6	0.23899
chr1_1790089_1790419	GNB1	0.37589
chr1_1821325_1823513	CALML6	0.22244
chr1_1821325_1823513	FAM213B	0.436234
chr1_1821325_1823513	GNB1	0.25735
chr1_1830686_1830968	CALML6	-0.20143
chr1_1837711_1838047	GNB1	0.38552
chr1_1839758_1841317	CALML6	0.3014
chr1_1850208_1851599	GNB1	-0.52992
chr1_1875202_1875933	GNB1	0.23557
chr1_1886302_1886708	CALML6	-0.30126
chr1_1891454_1891824	GNB1	0.33323
chr1_1891454_1891824	RER1	0.407216
chr1_1902407_1902796	GNB1	-0.31319
chr1_1910871_1911168	GNB1	-0.23424
chr1_1957031_1957438	AURKAIP1	-0.507734
chr1_1981287_1982378	MMEL1	0.443882
chr1_2022958_2023383	FAM213B	0.412534
chr1_2063721_2063975	FAM213B	0.455816
chr1_2063721_2063975	GNB1	0.600511
chr1_2064197_2065541	FAM213B	0.455816
chr1_2064197_2065541	GNB1	0.600511
chr1_2064197_2065541	SKI	0.34476
chr1_2071242_2071688	FAM213B	0.455816
chr1_2071242_2071688	GNB1	0.600511
chr1_2092041_2092481	SKI	-0.2645
chr1_2094569_2094979	SKI	-0.21556
chr1_2105617_2106183	CALML6	0.554458
chr1_2105617_2106183	SKI	0.39152
chr1_2130478_2131135	SKI	0.38878
chr1_2135770_2137311	CALML6	0.421947
chr1_2135770_2137311	SKI	0.39923
chr1_2143865_2144537	CALML6	0.428246
chr1_2143865_2144537	SKI	0.21947
chr1_2162368_2162878	SKI	0.20657
chr1_2186636_2188237	SKI	0.37694
chr1_2209095_2209431	AURKAIP1	-0.533216
chr1_2209095_2209431	GNB1	0.423912
chr1_2209095_2209431	SKI	0.29631
chr1_2210694_2210942	AURKAIP1	-0.533216
chr1_2210694_2210942	GNB1	0.423912
chr1_2210694_2210942	SKI	0.26148
chr1_2221642_2222910	RER1	0.2002
chr1_2236466_2237154	CALML6	0.527525
chr1_2236466_2237154	SKI	0.28166
chr1_2242936_2243378	AURKAIP1	-0.432469
chr1_2242936_2243378	CALML6	0.659239
chr1_2242936_2243378	MMP23B	0.456053
chr1_2242936_2243378	RER1	-0.27315
chr1_2242936_2243378	SKI	0.32311
chr1_2245829_2247146	AURKAIP1	-0.432469
chr1_2245829_2247146	CALML6	0.659239
chr1_2245829_2247146	MMP23B	0.456053
chr1_2245829_2247146	SKI	0.2478
chr1_2313061_2313964	CALML6	0.519526
chr1_2313061_2313964	RER1	-0.20153
chr1_2314082_2314346	CALML6	0.519526
chr1_2314082_2314346	RER1	0.34198
chr1_2322493_2323830	RER1	0.31885
chr1_2332615_2332918	RER1	0.23942
chr1_2343567_2344807	RER1	0.31161
chr1_2345761_2346203	RER1	0.20745
chr1_2371917_2372143	RER1	-0.25882
chr1_2415495_2415722	RER1	-0.23878
chr1_2477391_2478915	MMEL1	0.20432
