RE	TG	Weight
chr1_569791_570056	OR4F3	0.460289
chr1_569791_570056	PUSL1	0.43885
chr1_752561_752761	PUSL1	-0.410281
chr1_839920_840293	GNB1	0.466351
chr1_839920_840293	NADK	-0.422763
chr1_839920_840293	PUSL1	-0.44313
chr1_894424_894847	ISG15	0.22522
chr1_902250_902492	AGRN	0.29086
chr1_902250_902492	ISG15	0.38872
chr1_911472_911994	AGRN	0.34453
chr1_936134_936501	AGRN	0.24961
chr1_936134_936501	CALML6	0.43385
chr1_936134_936501	GNB1	0.461871
chr1_936134_936501	ISG15	-0.435505
chr1_936134_936501	NADK	-0.608391
chr1_936134_936501	PUSL1	-0.635733
chr1_948449_949127	NADK	-0.454951
chr1_948449_949127	PUSL1	-0.500526
chr1_954511_955057	AGRN	0.33215
chr1_954511_955057	GNB1	0.431521
chr1_954511_955057	NADK	-0.429614
chr1_954511_955057	PUSL1	-0.489888
chr1_968344_968741	AGRN	0.21849
chr1_976016_976383	NOC2L	0.33562
chr1_1015092_1015330	AGRN	0.38378
chr1_1051322_1051932	GNB1	0.450757
chr1_1072733_1073146	CCNL2	0.42561
chr1_1072733_1073146	PUSL1	-0.490778
chr1_1072733_1073146	SLC35E2B	0.404041
chr1_1092844_1093193	AGRN	0.453067
chr1_1093324_1093670	AGRN	0.453067
chr1_1101122_1101750	AGRN	0.564364
chr1_1101122_1101750	PRKCZ	0.511388
chr1_1141942_1142142	CALML6	0.467837
chr1_1143414_1143975	CALML6	0.467837
chr1_1148174_1148533	AGRN	-0.403038
chr1_1148655_1149067	AGRN	-0.403038
chr1_1158011_1158419	PUSL1	0.25298
chr1_1285015_1285317	PUSL1	-0.35903
chr1_1310532_1311084	GNB1	0.436171
chr1_1376316_1376569	CALML6	0.434447
chr1_1406918_1407252	GNB1	0.44116
chr1_1406918_1407252	RER1	0.444497
chr1_1447058_1447649	GNB1	0.470385
chr1_1509859_1511017	GNB1	0.452296
chr1_1509859_1511017	NADK	-0.401597
chr1_1509859_1511017	PUSL1	-0.420892
chr1_1550380_1551251	SLC35E2B	0.28482
chr1_1564955_1566041	CALML6	0.472164
chr1_1564955_1566041	CDK11A	0.20414
chr1_1564955_1566041	CDK11B	0.24086
chr1_1564955_1566041	NADK	-0.52694
chr1_1564955_1566041	PUSL1	-0.555753
chr1_1564955_1566041	SLC35E2B	0.30087
chr1_1590334_1590784	CDK11B	0.24001
chr1_1590334_1590784	SLC35E2B	0.21333
chr1_1597233_1597438	NADK	0.25582
chr1_1609113_1609593	SLC35E2B	0.29844
chr1_1711455_1712155	CDK11A	0.21145
chr1_1711455_1712155	NADK	0.23806
chr1_1774376_1774582	CALML6	0.30449
chr1_1774376_1774582	GNB1	-0.20768
chr1_1790148_1790348	CALML6	0.23899
chr1_1790148_1790348	GNB1	0.37589
chr1_1822398_1823280	FAM213B	0.436234
chr1_1822398_1823280	GNB1	0.25735
chr1_1837651_1838007	GNB1	0.38552
chr1_1850561_1851275	GNB1	0.26112
chr1_1875453_1875656	GNB1	0.23557
chr1_1875453_1875656	PRKCZ	0.443901
chr1_1976317_1976577	PUSL1	-0.416646
chr1_1981444_1981953	MMEL1	0.443882
chr1_1981444_1981953	PRKCZ	0.28139
chr1_2064384_2065333	FAM213B	0.455816
chr1_2064384_2065333	GNB1	0.600511
chr1_2064384_2065333	SKI	0.34476
chr1_2126199_2126948	NADK	-0.454122
chr1_2126199_2126948	PUSL1	-0.468552
chr1_2136158_2137150	CALML6	0.421947
chr1_2136158_2137150	NADK	-0.442924
chr1_2136158_2137150	PUSL1	-0.412685
chr1_2143935_2144459	CALML6	0.428246
chr1_2143935_2144459	NADK	-0.520665
chr1_2143935_2144459	PUSL1	-0.52917
chr1_2143935_2144459	SKI	0.21947
chr1_2162484_2162858	SKI	0.20657
chr1_2221761_2222900	RER1	0.2002
chr1_2313237_2313511	CALML6	0.519526
chr1_2313237_2313511	RER1	0.34198
chr1_2322874_2323363	RER1	0.31885
chr1_2343903_2344471	RER1	0.31161
chr1_2345849_2346175	RER1	0.20745
chr1_2478292_2478597	MMEL1	0.20432
chr1_2479447_2479863	MMEL1	0.20432
chr1_2487011_2488176	FAM213B	0.21269
chr1_2487011_2488176	MMEL1	0.23565
chr1_2509662_2510197	MMEL1	0.506849
chr1_3236635_3236835	FAM213B	0.481219
chr1_3236635_3236835	MMEL1	0.405461
chr1_3481821_3482109	WRAP73	0.24623
chr1_3541202_3541669	TPRG1L	0.37049
chr1_3541202_3541669	WRAP73	0.21809
chr1_3566538_3567009	WRAP73	0.40338
chr1_3641013_3641287	WRAP73	0.2359
chr1_3663815_3664103	WRAP73	0.31207
chr1_3688918_3689342	DFFB	0.29033
chr1_3703935_3704473	DFFB	0.31288
chr1_3726840_3727147	C1orf174	0.20722
chr1_3726840_3727147	DFFB	0.25381
chr1_3773523_3774299	DFFB	0.26923
chr1_3799853_3800520	C1orf174	0.21292
chr1_3799853_3800520	DFFB	0.40659
chr1_3807505_3808002	DFFB	0.36911
chr1_3816666_3818126	DFFB	0.435
chr1_5449076_5449505	KCNAB2	0.413399
chr1_5976163_5976412	KCNAB2	0.43366
chr1_5976163_5976412	RPL22	0.445352
chr1_6052238_6052850	RPL22	0.407006
chr1_6086132_6086600	KCNAB2	0.25368
chr1_6086832_6087128	KCNAB2	0.28298
chr1_6087387_6087731	KCNAB2	0.25989
chr1_6088182_6088698	KCNAB2	0.25989
chr1_6259456_6260066	RPL22	0.44556
chr1_6266055_6266318	RPL22	0.30818
chr1_6295882_6296406	RPL22	0.38864
chr1_6305150_6305437	RPL22	0.518917
chr1_6306783_6307133	RPL22	0.459707
chr1_6320032_6320354	GPR153	0.412147
chr1_6320032_6320354	RPL22	0.50613
chr1_6403532_6403828	GPR153	0.23217
chr1_6408099_6409108	KCNAB2	0.584875
chr1_6425051_6425504	KCNAB2	0.522355
chr1_6453334_6454297	RPL22	0.496813
chr1_6546569_6546851	RPL22	0.491462
chr1_6549971_6550284	HES2	0.282
chr1_6557759_6557959	HES2	-0.20475
chr1_6614404_6614971	RPL22	0.533514
chr1_6706610_6706935	RPL22	0.548918
chr1_6761751_6762169	DNAJC11	0.21308
chr1_6761751_6762169	RPL22	0.429202
chr1_6787540_6787863	DNAJC11	0.2277
chr1_7868421_7868630	UTS2	0.21706
chr1_7959076_7959395	PARK7	-0.24575
chr1_7962716_7963136	PARK7	0.40288
chr1_7975935_7976214	UTS2	0.25008
chr1_7990713_7991064	UTS2	0.24737
chr1_7991155_7991645	UTS2	0.27028
chr1_8000645_8001171	UTS2	0.26975
chr1_8002362_8002623	PARK7	0.23772
chr1_8009075_8009382	UTS2	0.22518
chr1_8013805_8014837	PARK7	0.25957
chr1_8021132_8022345	PARK7	0.21085
chr1_8042331_8042709	PARK7	0.2942
chr1_8075083_8075442	PARK7	0.44102
chr1_8086230_8086643	PARK7	0.31281
chr1_8091388_8091593	PARK7	0.40524
chr1_8877544_8878068	ENO1	-0.21354
chr1_8922628_8922828	PIK3CD	0.514597
chr1_8933641_8933901	ENO1	0.50596
chr1_8938588_8939646	ENO1	0.31086
chr1_8960040_8960258	ENO1	0.2105
chr1_8960040_8960258	PIK3CD	0.511799
chr1_8978240_8978473	CLSTN1	0.413582
chr1_9031168_9031398	PIK3CD	0.644554
chr1_9065136_9065494	ENO1	0.474459
chr1_9202288_9202619	PIK3CD	0.413345
chr1_9299791_9300064	CLSTN1	-0.417488
chr1_9299791_9300064	ENO1	-0.459213
chr1_9515886_9516151	LZIC	0.506879
chr1_9551169_9551451	LZIC	0.476359
chr1_9648476_9648974	PIK3CD	0.28292
chr1_9675626_9676071	PIK3CD	0.45397
chr1_9687013_9687429	PIK3CD	0.644746
chr1_9688545_9688972	PIK3CD	0.644746
chr1_9689165_9689366	PIK3CD	0.644746
chr1_9689633_9690067	PIK3CD	0.644746
chr1_9704700_9705006	PIK3CD	0.20757
chr1_9712468_9712747	PIK3CD	0.571372
chr1_9713623_9713910	PIK3CD	0.5575
chr1_9715163_9715560	PIK3CD	0.571372
chr1_9747229_9747928	DFFA	0.414054
chr1_9747229_9747928	ENO1	0.487048
chr1_9747229_9747928	PIK3CD	0.47818
chr1_9749379_9749585	DFFA	0.414054
chr1_9749379_9749585	ENO1	0.487048
chr1_9749379_9749585	PIK3CD	0.20761
chr1_9764813_9765024	PIK3CD	0.4286
chr1_9771763_9772016	PIK3CD	0.39618
chr1_9777504_9778004	PIK3CD	0.48879
chr1_9781918_9782157	PIK3CD	0.506893
chr1_9785105_9785409	PIK3CD	0.548907
chr1_9788467_9788918	PIK3CD	0.588368
chr1_9883935_9884774	CLSTN1	0.34709
chr1_9885563_9885924	CLSTN1	0.25065
chr1_9934906_9935252	LZIC	0.22187
chr1_9941992_9942746	LZIC	-0.26689
chr1_9941992_9942746	PIK3CD	0.45688
chr1_9970178_9971284	LZIC	0.2454
chr1_10002487_10002742	CLSTN1	0.412246
chr1_10002487_10002742	LZIC	0.38597
chr1_10002963_10003701	CLSTN1	0.412246
chr1_10002963_10003701	LZIC	0.36849
chr1_10092576_10093347	DFFA	0.401447
chr1_10092576_10093347	LZIC	0.26834
chr1_10092576_10093347	TARDBP	0.52126
chr1_10270083_10270699	LZIC	0.477475
chr1_10270083_10270699	TARDBP	0.447965
chr1_10458596_10459383	DFFA	0.24915
chr1_10490258_10491079	DFFA	0.29858
chr1_10490258_10491079	EXOSC10	0.462057
chr1_10490258_10491079	LZIC	0.415292
chr1_10490258_10491079	MASP2	0.5094
chr1_10490258_10491079	TARDBP	0.471384
chr1_10532428_10532881	DFFA	0.25087
chr1_10532428_10532881	EXOSC10	0.414364
chr1_10532428_10532881	MASP2	0.483335
chr1_10532428_10532881	TARDBP	0.527314
chr1_10534803_10535116	DFFA	0.24915
chr1_10534803_10535116	LZIC	0.402408
chr1_10534803_10535116	MASP2	0.488739
chr1_10534803_10535116	TARDBP	0.448251
