RE	TG	Weight
chr1_565545_565847	ATAD3A	0.469637
chr1_565545_565847	NOC2L	0.463565
chr1_567203_567695	ATAD3A	0.453993
chr1_567203_567695	AURKAIP1	0.400246
chr1_567203_567695	NOC2L	0.435327
chr1_567203_567695	PUSL1	0.421578
chr1_567845_568319	OR4F3	0.463715
chr1_568725_568928	ATAD3A	0.404463
chr1_568725_568928	OR4F3	0.419876
chr1_569113_570245	OR4F3	0.21387
chr1_569113_570245	PUSL1	0.43885
chr1_935420_935857	AGRN	0.24961
chr1_935420_935857	AURKAIP1	-0.476159
chr1_935420_935857	GNB1	0.461871
chr1_935420_935857	NADK	-0.608391
chr1_935420_935857	PUSL1	-0.635733
chr1_948657_948857	AURKAIP1	-0.446229
chr1_948657_948857	NADK	-0.454951
chr1_948657_948857	PUSL1	-0.500526
chr1_948864_949283	AURKAIP1	-0.446229
chr1_948864_949283	NADK	-0.454951
chr1_948864_949283	PUSL1	-0.500526
chr1_954686_955490	AGRN	0.33215
chr1_954686_955490	GNB1	0.431521
chr1_954686_955490	NADK	-0.429614
chr1_954686_955490	PUSL1	-0.489888
chr1_968206_968762	AGRN	0.21849
chr1_1014860_1015367	AGRN	0.38378
chr1_1015428_1015761	AGRN	0.21328
chr1_1051153_1051965	GNB1	0.450757
chr1_1092809_1093083	AGRN	0.453067
chr1_1093093_1093445	AGRN	0.453067
chr1_1093561_1093858	AGRN	0.453067
chr1_1098041_1098442	AGRN	0.564364
chr1_1098570_1098795	AGRN	0.564364
chr1_1217030_1217388	NADK	0.47326
chr1_1217030_1217388	PUSL1	0.27615
chr1_1259871_1260388	ANKRD65	-0.23336
chr1_1259871_1260388	MXRA8	-0.20918
chr1_1284582_1285002	MXRA8	0.2369
chr1_1284582_1285002	PUSL1	-0.35903
chr1_1310412_1310967	GNB1	0.436171
chr1_1334466_1335151	ANKRD65	-0.23841
chr1_1334466_1335151	AURKAIP1	0.22553
chr1_1342116_1342316	ANKRD65	-0.29096
chr1_1342495_1342828	ANKRD65	-0.29096
chr1_1342495_1342828	AURKAIP1	-0.20391
chr1_1355187_1355391	ANKRD65	0.28339
chr1_1355187_1355391	ATAD3A	-0.3276
chr1_1355187_1355391	ATAD3B	-0.32619
chr1_1355187_1355391	AURKAIP1	-0.28867
chr1_1355409_1355631	ANKRD65	0.28339
chr1_1355409_1355631	ATAD3A	-0.3276
chr1_1355409_1355631	ATAD3B	-0.32619
chr1_1355409_1355631	AURKAIP1	-0.28867
chr1_1356457_1356659	ANKRD65	0.522
chr1_1356457_1356659	AURKAIP1	-0.273
chr1_1368587_1368825	ANKRD65	0.30463
chr1_1368587_1368825	ATAD3A	-0.21258
chr1_1368587_1368825	AURKAIP1	-0.21845
chr1_1368587_1368825	NADK	-0.496793
chr1_1368587_1368825	PUSL1	-0.519688
chr1_1368587_1368825	VWA1	0.30068
chr1_1397677_1398206	ATAD3A	0.33831
chr1_1397677_1398206	ATAD3B	0.29195
chr1_1397677_1398206	AURKAIP1	0.22559
chr1_1397677_1398206	MRPL20	0.32499
chr1_1406812_1407356	ANKRD65	-0.22182
chr1_1406812_1407356	GNB1	0.44116
chr1_1406812_1407356	RER1	0.444497
chr1_1446994_1447613	ANKRD65	-0.21628
chr1_1446994_1447613	GNB1	0.470385
chr1_1509740_1510478	GNB1	0.452296
chr1_1509740_1510478	NADK	-0.401597
chr1_1509740_1510478	PUSL1	-0.420892
chr1_1550550_1550942	SLC35E2B	0.28482
chr1_1550969_1551351	SLC35E2B	0.28482
chr1_1590312_1590885	CDK11B	0.24001
chr1_1590312_1590885	SLC35E2B	0.21333
chr1_1661805_1662133	NADK	0.25599
chr1_1661805_1662133	SLC35E2B	-0.30248
chr1_1669446_1669648	NADK	0.34963
chr1_1669446_1669648	SLC35E2B	-0.24811
chr1_1677114_1678306	SLC35E2B	-0.23232
chr1_1690206_1690503	NADK	0.37856
chr1_1822381_1823095	ANKRD65	-0.40161
chr1_1822381_1823095	GNB1	0.25735
chr1_1847370_1847574	GNB1	-0.35283
chr1_1847370_1847574	TMEM52	0.41729
chr1_1850289_1851208	GNB1	-0.35614
chr1_1850289_1851208	TMEM52	0.23936
chr1_2064433_2065083	GNB1	0.600511
chr1_2126192_2126589	NADK	-0.454122
chr1_2126192_2126589	PUSL1	-0.468552
chr1_2126620_2126864	NADK	-0.454122
chr1_2126620_2126864	PUSL1	-0.468552
chr1_2136076_2136299	MXRA8	0.407412
chr1_2136076_2136299	NADK	-0.442924
chr1_2136076_2136299	PUSL1	-0.412685
chr1_2136076_2136299	SKI	0.39923
chr1_2136572_2136979	MXRA8	0.407412
chr1_2136572_2136979	NADK	-0.442924
chr1_2136572_2136979	PUSL1	-0.412685
chr1_2144163_2144371	MXRA8	0.447714
chr1_2144163_2144371	NADK	-0.520665
chr1_2144163_2144371	PUSL1	-0.52917
chr1_2144163_2144371	SKI	0.30234
chr1_2199293_2199523	SKI	0.21852
chr1_2199293_2199523	TMEM52	0.431118
chr1_2210478_2210749	ATAD3B	-0.440203
chr1_2210478_2210749	AURKAIP1	-0.533216
chr1_2210478_2210749	GNB1	0.423912
chr1_2210478_2210749	MXRA8	0.500288
chr1_2210478_2210749	NADK	-0.614008
chr1_2210478_2210749	PUSL1	-0.660875
chr1_2210478_2210749	SKI	0.26148
chr1_2322561_2322806	RER1	0.31885
chr1_2322807_2323459	RER1	0.31885
chr1_2343827_2344324	RER1	0.31161
chr1_2509639_2510051	ARHGEF16	0.402173
chr1_3135886_3136098	PRDM16	0.473817
chr1_3138564_3139157	PRDM16	0.473817
chr1_3239881_3240083	ARHGEF16	0.455835
chr1_3239881_3240083	PRDM16	0.443643
chr1_3339935_3340288	ARHGEF16	0.32704
chr1_3339935_3340288	PRDM16	0.475587
chr1_3369725_3369934	ARHGEF16	0.663733
chr1_3370764_3371241	ARHGEF16	0.40722
chr1_3540999_3541796	TPRG1L	0.37049
chr1_3540999_3541796	WRAP73	0.21809
chr1_3566496_3566729	WRAP73	0.40338
chr1_3663734_3664086	WRAP73	0.31207
chr1_3689111_3689347	DFFB	0.29033
chr1_3773500_3774315	DFFB	0.26923
chr1_3816545_3818060	DFFB	0.435
chr1_6052082_6052769	RPL22	0.407006
chr1_6259270_6259917	RPL22	0.44556
chr1_6295719_6296265	RPL22	0.38864
chr1_6453311_6454104	RPL22	0.496813
chr1_6614197_6614704	KLHL21	-0.23299
chr1_6614197_6614704	RPL22	0.533514
chr1_6661180_6661468	KLHL21	0.28795
chr1_6761435_6762131	RPL22	0.429202
chr1_7830921_7831825	ERRFI1	-0.454589
chr1_7830921_7831825	PER3	-0.25455
chr1_7843810_7844626	PER3	0.2023
chr1_7945569_7945899	PARK7	-0.37292
chr1_8014077_8014491	ERRFI1	-0.520563
chr1_8014077_8014491	PARK7	0.25957
chr1_8021247_8022027	ERRFI1	-0.441742
chr1_8021247_8022027	PARK7	0.21085
chr1_8064912_8065493	ERRFI1	0.29302
chr1_8085865_8086615	PARK7	0.31281
chr1_8262272_8262472	ERRFI1	0.595044
chr1_8319007_8319594	ERRFI1	0.46686
chr1_8319702_8319984	ERRFI1	0.46686
chr1_8468122_8468478	GPR157	-0.435696
chr1_8585861_8586230	ERRFI1	-0.574842
chr1_8585861_8586230	SPSB1	-0.560811
chr1_8763097_8763695	ERRFI1	-0.518134
chr1_8763097_8763695	GPR157	-0.477549
chr1_8763097_8763695	PER3	-0.414393
chr1_8763097_8763695	SPSB1	-0.554685
chr1_8877598_8878194	ERRFI1	-0.552016
chr1_8877598_8878194	GPR157	-0.404467
chr1_8877598_8878194	SPSB1	-0.628853
chr1_9188685_9189830	GPR157	0.27483
chr1_9294436_9295272	SPSB1	-0.34083
chr1_9302491_9302884	CLSTN1	-0.417488
chr1_9302491_9302884	H6PD	0.31237
chr1_9302491_9302884	SPSB1	0.24035
chr1_9352674_9353083	LZIC	0.453164
chr1_9352674_9353083	SPSB1	-0.28165
chr1_9488655_9489252	SPSB1	-0.408565
chr1_9498503_9498879	KIF1B	0.424834
chr1_9527148_9527562	KIF1B	0.541721
chr1_9527148_9527562	PIK3CD	-0.421936
chr1_9551163_9551407	LZIC	0.476359
chr1_9551163_9551407	SPSB1	-0.403677
chr1_9599143_9600143	SPSB1	-0.421817
chr1_9648470_9649149	PIK3CD	0.28292
chr1_9648470_9649149	SPSB1	-0.432052
chr1_9687121_9687337	PIK3CD	0.644746
chr1_9749318_9749835	DFFA	0.414054
chr1_9749318_9749835	KIF1B	-0.473483
chr1_9749318_9749835	PIK3CD	0.20761
chr1_9864418_9864618	CLSTN1	0.24109
chr1_9883762_9884289	CLSTN1	0.412862
chr1_9885437_9885669	CLSTN1	0.25065
chr1_9970036_9971004	LZIC	0.2454
chr1_10003007_10003548	CLSTN1	0.412246
chr1_10003007_10003548	LZIC	0.36849
chr1_10003007_10003548	SPSB1	-0.492574
chr1_10092537_10093453	DFFA	0.401447
chr1_10092537_10093453	LZIC	0.26834
chr1_10092537_10093453	SPSB1	-0.479333
chr1_10092537_10093453	TARDBP	0.52126
chr1_10270014_10270922	KIF1B	0.4155
chr1_10270014_10270922	LZIC	0.477475
chr1_10270014_10270922	SPSB1	-0.42255
chr1_10270014_10270922	TARDBP	0.447965
chr1_10271060_10271262	KIF1B	0.4155
chr1_10271060_10271262	LZIC	0.477475
chr1_10271060_10271262	SPSB1	-0.42255
chr1_10271060_10271262	TARDBP	0.447965
chr1_10458584_10459547	DFFA	0.24915
chr1_10490218_10491144	DFFA	0.29858
chr1_10490218_10491144	EXOSC10	0.462057
chr1_10490218_10491144	LZIC	0.415292
chr1_10490218_10491144	TARDBP	0.471384
chr1_10532226_10532708	DFFA	0.25087
chr1_10532226_10532708	EXOSC10	0.414364
chr1_10532226_10532708	TARDBP	0.527314
chr1_10534863_10535257	DFFA	0.24915
chr1_10534863_10535257	LZIC	0.402408
chr1_10534863_10535257	TARDBP	0.448251
chr1_10798293_10798608	MAD2L2	-0.400375
chr1_10798293_10798608	UBIAD1	-0.417248
chr1_10856433_10856708	TARDBP	0.404151
chr1_10927212_10927413	TARDBP	0.405904
chr1_11008114_11008405	TARDBP	-0.50912
chr1_11040091_11040492	SRM	0.27644
chr1_11072243_11073126	EXOSC10	0.25426
chr1_11072243_11073126	TARDBP	0.21584
chr1_11119772_11120380	EXOSC10	0.2188
chr1_11159800_11160003	EXOSC10	0.25676
chr1_11159800_11160003	TARDBP	0.25431
chr1_11322178_11322982	UBIAD1	0.23386
chr1_11332840_11333665	UBIAD1	0.2371
chr1_11710513_11710979	FBXO2	0.34022
chr1_11714660_11714916	FBXO2	0.35043
chr1_11714660_11714916	MAD2L2	0.3355
chr1_11741080_11741384	EXOSC10	0.400973
chr1_11741080_11741384	TARDBP	0.463604
chr1_11741080_11741384	VPS13D	-0.520856
chr1_11967758_11968008	PLOD1	0.53514
chr1_11967758_11968008	VPS13D	-0.439704
chr1_11968018_11968508	PLOD1	0.53514
chr1_11968018_11968508	VPS13D	-0.439704
chr1_11968765_11969105	PLOD1	0.35581
chr1_11968765_11969105	VPS13D	-0.439704
chr1_11985992_11986276	PLOD1	0.35408
chr1_11986302_11986665	PLOD1	0.35408
chr1_11994413_11994853	FBXO2	-0.401862
chr1_11994413_11994853	PLOD1	0.34084
chr1_11994413_11994853	TARDBP	0.55947
chr1_11994413_11994853	VPS13D	-0.520258
chr1_12039895_12040714	PLOD1	0.36938
chr1_12079133_12079865	PLOD1	0.29727
chr1_12244325_12244564	VPS13D	-0.32012
chr1_12289978_12290206	VPS13D	-0.29084
chr1_12290257_12290500	VPS13D	0.24784
chr1_12290956_12291214	VPS13D	0.24784
chr1_12538192_12538432	PLOD1	0.447175
chr1_12538192_12538432	VPS13D	-0.610944
chr1_15416899_15417122	CLCNKB	0.760459
chr1_15416899_15417122	EFHD2	-0.54307
chr1_15478868_15479105	TMEM51	0.24585
chr1_15479538_15479800	TMEM51	0.24585
chr1_15479867_15480317	TMEM51	0.24585
chr1_15528501_15528866	FBLIM1	0.425148
chr1_15528501_15528866	TMEM51	0.52047
chr1_15611366_15611676	TMEM51	0.608758
chr1_15678946_15679284	EFHD2	0.38491
chr1_15736251_15736451	EFHD2	0.442056
chr1_15736251_15736451	FBLIM1	-0.427222
chr1_15750671_15751105	CELA2A	0.23598
chr1_15750671_15751105	CELA2B	0.23894
chr1_15750671_15751105	CTRC	0.21686
chr1_15750671_15751105	EFHD2	0.407444
chr1_15750671_15751105	TMEM51	0.496312
chr1_15758916_15759194	CELA2A	0.405783
chr1_15758916_15759194	CELA2B	0.41421
chr1_15758916_15759194	CTRC	0.32947
chr1_15758916_15759194	EFHD2	0.497896
chr1_15780767_15781058	CELA2A	0.4757
chr1_15780767_15781058	CELA2B	0.34904
chr1_15780767_15781058	CTRC	0.41932
chr1_16062389_16062936	NECAP2	-0.481182
chr1_16062389_16062936	SLC25A34	0.51743
chr1_16090897_16091233	EFHD2	0.45024
chr1_16090897_16091233	EPHA2	0.460248
chr1_16090897_16091233	FBLIM1	0.40631
chr1_16090897_16091233	SLC25A34	0.52873
chr1_16090897_16091233	TMEM51	0.426953
chr1_16126673_16127006	EPHA2	0.455754
chr1_16126673_16127006	FBLIM1	0.25225
chr1_16160820_16161123	EPHA2	-0.467703
chr1_16160820_16161123	SPEN	0.21187
chr1_16161229_16161576	EPHA2	-0.467703
chr1_16161229_16161576	SPEN	0.21187
chr1_16162184_16162723	EPHA2	-0.467703
chr1_16173700_16174437	EFHD2	-0.436853
chr1_16173700_16174437	EPHA2	-0.465338
chr1_16173700_16174437	NBPF1	0.430302
chr1_16174460_16174700	EFHD2	-0.436853
chr1_16174460_16174700	EPHA2	-0.465338
chr1_16174460_16174700	NBPF1	0.430302
chr1_16212692_16213306	EFHD2	-0.598978
chr1_16212692_16213306	NBPF1	0.495159
chr1_16302266_16302685	EPHA2	-0.502215
chr1_16302266_16302685	FBLIM1	-0.498921
chr1_16339352_16339621	HSPB7	0.41005
chr1_16339352_16339621	NECAP2	-0.458851
chr1_16393667_16393960	CELA2A	0.408958
chr1_16393667_16393960	TMEM51	0.459087
chr1_16470041_16470278	ARHGEF19	0.2348
chr1_16470041_16470278	CLCNKB	0.429773
chr1_16470041_16470278	FBLIM1	0.479721
