RE	TG	Weight
chr1_567195_567697	ATAD3A	0.453993
chr1_567195_567697	AURKAIP1	0.400246
chr1_567195_567697	NOC2L	0.435327
chr1_567195_567697	PUSL1	0.421578
chr1_567829_568360	OR4F3	0.463715
chr1_713824_714329	DVL1	-0.403956
chr1_752352_753726	PUSL1	-0.410281
chr1_754006_754482	PUSL1	-0.410281
chr1_839966_840228	DVL1	-0.461478
chr1_839966_840228	GNB1	0.466351
chr1_839966_840228	NADK	-0.422763
chr1_839966_840228	PUSL1	-0.44313
chr1_840643_840855	AURKAIP1	-0.489111
chr1_840643_840855	DVL1	-0.576037
chr1_840643_840855	GNB1	0.407437
chr1_840643_840855	ISG15	-0.51136
chr1_840643_840855	NADK	-0.526215
chr1_840643_840855	PUSL1	-0.657991
chr1_845956_846208	AGRN	0.435791
chr1_845956_846208	AURKAIP1	-0.404063
chr1_845956_846208	DVL1	-0.462269
chr1_845956_846208	ISG15	-0.464639
chr1_845956_846208	PUSL1	-0.531613
chr1_856474_856692	AGRN	0.41476
chr1_856474_856692	AURKAIP1	-0.493575
chr1_856474_856692	DVL1	-0.590596
chr1_856474_856692	GNB1	0.441108
chr1_856474_856692	ISG15	-0.550448
chr1_856474_856692	NADK	-0.532285
chr1_856474_856692	PUSL1	-0.67499
chr1_859040_859522	AGRN	0.27566
chr1_859040_859522	AURKAIP1	-0.431154
chr1_859040_859522	DVL1	-0.477802
chr1_859040_859522	GNB1	0.452062
chr1_859040_859522	ISG15	-0.53117
chr1_859040_859522	NADK	-0.509492
chr1_859040_859522	PUSL1	-0.587597
chr1_859891_860099	AGRN	0.29983
chr1_859891_860099	AURKAIP1	-0.431154
chr1_859891_860099	DVL1	-0.477802
chr1_859891_860099	ISG15	-0.53117
chr1_859891_860099	NADK	-0.509492
chr1_859891_860099	PUSL1	-0.587597
chr1_860928_861155	AGRN	0.40286
chr1_860928_861155	AURKAIP1	-0.448422
chr1_860928_861155	DVL1	-0.559007
chr1_860928_861155	GNB1	0.434987
chr1_860928_861155	ISG15	-0.53117
chr1_860928_861155	NADK	-0.509492
chr1_860928_861155	PUSL1	-0.587597
chr1_868486_868796	AGRN	0.211
chr1_875622_875966	AGRN	0.40956
chr1_875622_875966	AURKAIP1	-0.512421
chr1_875622_875966	DVL1	-0.560736
chr1_875622_875966	GNB1	0.409833
chr1_875622_875966	ISG15	-0.55738
chr1_875622_875966	MXRA8	0.425778
chr1_875622_875966	NADK	-0.493352
chr1_875622_875966	PUSL1	-0.62893
chr1_875622_875966	SLC35E2B	0.416389
chr1_876876_877397	AGRN	0.34676
chr1_876876_877397	AURKAIP1	-0.512421
chr1_876876_877397	DVL1	-0.560736
chr1_876876_877397	GNB1	0.409833
