RE	TG	Weight
chr1_565092_566151	NOC2L	0.462214
chr1_566605_567303	AURKAIP1	0.400246
chr1_566605_567303	NOC2L	0.435327
chr1_566605_567303	PUSL1	0.421578
chr1_569195_570276	PUSL1	0.43885
chr1_713828_714662	DVL1	-0.403956
chr1_715099_715350	DVL1	-0.403956
chr1_752387_752822	PUSL1	-0.410281
chr1_754250_754576	PUSL1	-0.410281
chr1_805103_805401	MXRA8	-0.43054
chr1_805103_805401	VWA1	-0.496724
chr1_839958_840261	DVL1	-0.461478
chr1_839958_840261	GNB1	0.466351
chr1_839958_840261	PUSL1	-0.44313
chr1_856453_856761	AGRN	0.41476
chr1_856453_856761	AURKAIP1	-0.493575
chr1_856453_856761	DVL1	-0.590596
chr1_856453_856761	GNB1	0.441108
chr1_856453_856761	PUSL1	-0.67499
chr1_856453_856761	SSU72	-0.431098
chr1_859096_859384	AGRN	0.27566
chr1_859096_859384	AURKAIP1	-0.431154
chr1_859096_859384	DVL1	-0.477802
chr1_859096_859384	GNB1	0.452062
chr1_859096_859384	PUSL1	-0.587597
chr1_859096_859384	SSU72	-0.404257
chr1_875650_875927	AGRN	0.40956
chr1_875650_875927	AURKAIP1	-0.512421
chr1_875650_875927	DVL1	-0.560736
chr1_875650_875927	GNB1	0.409833
chr1_875650_875927	MXRA8	0.425778
chr1_875650_875927	PUSL1	-0.62893
chr1_875650_875927	SLC35E2B	0.416389
chr1_875650_875927	SSU72	-0.427361
chr1_876879_877115	AGRN	0.34676
chr1_876879_877115	AURKAIP1	-0.512421
chr1_876879_877115	DVL1	-0.560736
chr1_876879_877115	GNB1	0.409833
chr1_876879_877115	MXRA8	0.425778
chr1_876879_877115	PUSL1	-0.62893
chr1_876879_877115	SLC35E2B	0.416389
chr1_876879_877115	SSU72	-0.427361
chr1_934244_934451	AGRN	0.23247
chr1_934244_934451	AURKAIP1	-0.476159
chr1_934244_934451	CALML6	0.43385
chr1_934244_934451	DVL1	-0.545365
chr1_934244_934451	GNB1	0.461871
chr1_934244_934451	PUSL1	-0.635733
chr1_935370_935999	AGRN	0.24961
chr1_935370_935999	AURKAIP1	-0.476159
chr1_935370_935999	CALML6	0.43385
chr1_935370_935999	DVL1	-0.545365
chr1_935370_935999	GNB1	0.461871
chr1_935370_935999	PUSL1	-0.635733
chr1_936050_936469	AGRN	0.24961
chr1_936050_936469	AURKAIP1	-0.476159
chr1_936050_936469	CALML6	0.43385
chr1_936050_936469	DVL1	-0.545365
chr1_936050_936469	GNB1	0.461871
chr1_936050_936469	PUSL1	-0.635733
chr1_948574_949091	AURKAIP1	-0.446229
chr1_948574_949091	DVL1	-0.557048
chr1_948574_949091	PUSL1	-0.500526
chr1_954453_955226	AGRN	0.33215
chr1_954453_955226	DVL1	-0.459837
chr1_954453_955226	GNB1	0.431521
chr1_954453_955226	PUSL1	-0.489888
chr1_960383_960771	AGRN	0.29434
chr1_960383_960771	NOC2L	-0.22948
chr1_968302_968788	AGRN	0.21849
chr1_968302_968788	DVL1	-0.440237
chr1_975950_976379	NOC2L	0.33562
chr1_975950_976379	VWA1	-0.401362
chr1_994231_994533	AGRN	0.45705
chr1_1051332_1051983	GNB1	0.450757
chr1_1057480_1057858	DVL1	-0.409631
chr1_1064671_1064871	AGRN	0.449205
chr1_1064671_1064871	PUSL1	-0.505589
chr1_1091454_1091668	AGRN	0.453067
chr1_1092795_1094101	AGRN	0.453067
chr1_1143809_1144033	CALML6	0.467837
chr1_1153280_1153529	PUSL1	0.42637
chr1_1215049_1215298	DVL1	0.24264
chr1_1215049_1215298	PUSL1	0.27973
chr1_1227159_1227474	DVL1	-0.24645
chr1_1234217_1234704	DVL1	-0.21166
chr1_1234217_1234704	PUSL1	-0.30832
chr1_1243246_1244136	DVL1	-0.30113
chr1_1253591_1254155	AURKAIP1	0.25025
chr1_1253591_1254155	DVL1	0.21396
chr1_1253591_1254155	PUSL1	0.26729
chr1_1253591_1254155	SLC35E2B	-0.412064
chr1_1259712_1260406	ANKRD65	-0.23336
chr1_1259712_1260406	MXRA8	-0.20918
chr1_1275596_1275927	AURKAIP1	0.30119
chr1_1275596_1275927	DVL1	0.42036
chr1_1275596_1275927	PUSL1	0.24735
chr1_1281542_1281826	AURKAIP1	0.33983
chr1_1281542_1281826	DVL1	0.446362
chr1_1281542_1281826	PUSL1	0.27901
chr1_1284674_1285341	DVL1	-0.23269
chr1_1284674_1285341	MXRA8	0.2369
chr1_1284674_1285341	PUSL1	-0.35903
chr1_1287298_1287534	ANKRD65	0.23002
chr1_1287298_1287534	CALML6	0.639948
chr1_1287298_1287534	MXRA8	0.20841
chr1_1287298_1287534	PRKCZ	-0.416727
chr1_1287298_1287534	PUSL1	-0.2316
chr1_1287298_1287534	SKI	0.41258
chr1_1287658_1288001	ANKRD65	0.23002
chr1_1287658_1288001	CALML6	0.639948
chr1_1287658_1288001	MXRA8	0.20841
chr1_1287658_1288001	PRKCZ	-0.416727
chr1_1287658_1288001	PUSL1	-0.2316
chr1_1287658_1288001	SKI	0.41258
chr1_1293800_1294069	AURKAIP1	-0.26853
chr1_1293800_1294069	CALML6	0.425885
chr1_1293800_1294069	DVL1	-0.36693
chr1_1293800_1294069	MXRA8	0.34944
chr1_1293800_1294069	PUSL1	-0.47306
chr1_1310426_1311095	GNB1	0.436171
chr1_1334440_1335411	ANKRD65	-0.23841
chr1_1334440_1335411	AURKAIP1	0.22553
chr1_1334440_1335411	DVL1	-0.21228
chr1_1342389_1342854	ANKRD65	-0.29096
chr1_1342389_1342854	AURKAIP1	-0.20391
chr1_1342389_1342854	DVL1	-0.407818
chr1_1352518_1352776	ANKRD65	0.23872
chr1_1352518_1352776	DVL1	-0.20657
chr1_1356575_1356906	ANKRD65	0.30921
chr1_1361072_1361605	AURKAIP1	-0.3084
chr1_1361072_1361605	DVL1	-0.20127
chr1_1361724_1362259	AURKAIP1	-0.3084
chr1_1361724_1362259	DVL1	-0.20127
chr1_1362437_1362650	AGRN	0.411061
chr1_1362437_1362650	AURKAIP1	-0.3084
chr1_1362437_1362650	DVL1	-0.41127
chr1_1362437_1362650	PUSL1	-0.508884
chr1_1362437_1362650	SSU72	-0.44721
chr1_1365748_1366084	ANKRD65	0.29304
chr1_1365748_1366084	AURKAIP1	-0.32682
chr1_1365748_1366084	CALML6	0.55474
chr1_1365748_1366084	DVL1	-0.30593
chr1_1365748_1366084	MXRA8	0.24543
chr1_1365748_1366084	PUSL1	-0.519688
chr1_1365748_1366084	VWA1	0.20376
chr1_1368499_1369019	ANKRD65	0.30463
chr1_1368499_1369019	AURKAIP1	-0.21913
chr1_1368499_1369019	CALML6	0.55474
chr1_1368499_1369019	PUSL1	-0.519688
chr1_1368499_1369019	VWA1	0.30068
chr1_1369684_1370112	ANKRD65	0.31176
