RE	TG	Weight
chr1_565050_565411	ATAD3A	0.412529
chr1_567843_568471	OR4F3	0.463715
chr1_713840_714382	DVL1	-0.403956
chr1_773088_773312	SAMD11	-0.28918
chr1_839998_840241	DVL1	-0.461478
chr1_839998_840241	GNB1	0.466351
chr1_839998_840241	NADK	-0.422763
chr1_839998_840241	SAMD11	0.33882
chr1_856482_856682	AGRN	0.41476
chr1_856482_856682	AURKAIP1	-0.493575
chr1_856482_856682	DVL1	-0.590596
chr1_856482_856682	GNB1	0.441108
chr1_856482_856682	ISG15	-0.550448
chr1_856482_856682	NADK	-0.532285
chr1_856482_856682	SAMD11	0.55327
chr1_856482_856682	SSU72	-0.431098
chr1_859099_859357	AGRN	0.27566
chr1_859099_859357	DVL1	-0.427888
chr1_859099_859357	GNB1	0.452062
chr1_859099_859357	ISG15	-0.24941
chr1_859099_859357	NADK	-0.425388
chr1_859099_859357	SAMD11	0.26121
chr1_894434_894919	ISG15	0.22522
chr1_935359_935947	AGRN	0.24961
chr1_935359_935947	AURKAIP1	-0.476159
chr1_935359_935947	CALML6	0.43385
chr1_935359_935947	DVL1	-0.545365
chr1_935359_935947	GNB1	0.461871
chr1_935359_935947	ISG15	-0.435505
chr1_935359_935947	NADK	-0.608391
chr1_935359_935947	SAMD11	0.21739
chr1_936070_936359	AGRN	0.24961
chr1_936070_936359	AURKAIP1	-0.476159
chr1_936070_936359	CALML6	0.43385
chr1_936070_936359	DVL1	-0.545365
chr1_936070_936359	GNB1	0.461871
chr1_936070_936359	ISG15	-0.435505
chr1_936070_936359	NADK	-0.608391
chr1_936070_936359	SAMD11	0.21739
chr1_937209_937436	AGRN	0.28504
chr1_937209_937436	AURKAIP1	-0.476159
chr1_937209_937436	CALML6	0.43385
chr1_937209_937436	DVL1	-0.545365
chr1_937209_937436	GNB1	0.461871
chr1_937209_937436	ISG15	-0.435505
chr1_937209_937436	NADK	-0.608391
chr1_948585_949788	AURKAIP1	-0.446229
chr1_948585_949788	DVL1	-0.557048
chr1_948585_949788	NADK	-0.454951
chr1_954608_955616	AGRN	0.33215
chr1_954608_955616	DVL1	-0.459837
chr1_954608_955616	GNB1	0.431521
chr1_954608_955616	NADK	-0.429614
chr1_954608_955616	SAMD11	0.33112
chr1_962815_963037	AGRN	0.3725
chr1_962815_963037	ISG15	-0.24482
chr1_976070_976405	VWA1	-0.401362
chr1_994616_995129	ISG15	0.53276
chr1_1014967_1015697	AGRN	0.21328
chr1_1051256_1051881	GNB1	0.450757
chr1_1057534_1057801	DVL1	-0.409631
chr1_1068778_1068988	SLC35E2B	0.404041
chr1_1068778_1068988	SSU72	-0.403826
chr1_1092780_1093153	AGRN	0.453067
chr1_1093279_1093699	AGRN	0.453067
chr1_1216217_1216528	DVL1	0.36358
chr1_1216217_1216528	NADK	0.47326
chr1_1227322_1227542	DVL1	-0.24645
chr1_1243247_1244127	DVL1	-0.30113
chr1_1253696_1253899	AURKAIP1	0.25025
chr1_1253696_1253899	DVL1	0.21396
chr1_1253696_1253899	SLC35E2B	-0.412064
chr1_1259748_1260285	ANKRD65	-0.23336
chr1_1259748_1260285	MXRA8	-0.20918
chr1_1285008_1285268	DVL1	-0.23269
chr1_1285008_1285268	MXRA8	0.2369
chr1_1287115_1287334	ANKRD65	0.23002
chr1_1287115_1287334	CALML6	0.639948
chr1_1287115_1287334	MXRA8	0.20841
chr1_1287115_1287334	NADK	-0.401185
chr1_1287115_1287334	SKI	0.41258
chr1_1293817_1294649	AURKAIP1	-0.26853
chr1_1293817_1294649	CALML6	0.425885
chr1_1293817_1294649	DVL1	-0.36693
