RE	TG	Weight
chr1_567189_567692	ATAD3A	0.453993
chr1_567189_567692	AURKAIP1	0.400246
chr1_567189_567692	NOC2L	0.435327
chr1_567189_567692	PUSL1	0.421578
chr1_567831_568356	OR4F3	0.463715
chr1_568732_568936	ATAD3A	0.404463
chr1_568732_568936	OR4F3	0.419876
chr1_569100_570280	OR4F3	0.21387
chr1_569100_570280	PUSL1	0.43885
chr1_713833_714332	DVL1	-0.403956
chr1_752575_753339	PUSL1	-0.410281
chr1_839843_840217	DVL1	-0.461478
chr1_839843_840217	GNB1	0.466351
chr1_839843_840217	NADK	-0.422763
chr1_839843_840217	PUSL1	-0.44313
chr1_839843_840217	SAMD11	0.33882
chr1_868486_868701	AGRN	0.211
chr1_868486_868701	SAMD11	0.26982
chr1_873524_873753	AGRN	0.35301
chr1_873524_873753	SAMD11	0.23914
chr1_876991_877254	AGRN	0.34676
chr1_876991_877254	AURKAIP1	-0.512421
chr1_876991_877254	DVL1	-0.560736
chr1_876991_877254	GNB1	0.409833
chr1_876991_877254	ISG15	-0.55738
chr1_876991_877254	MXRA8	0.425778
chr1_876991_877254	NADK	-0.493352
chr1_876991_877254	PUSL1	-0.62893
chr1_876991_877254	SAMD11	0.43236
chr1_876991_877254	SLC35E2B	0.416389
chr1_894478_894930	ISG15	0.22522
chr1_895061_895261	ISG15	0.22522
chr1_901442_901997	AGRN	0.29086
chr1_901442_901997	ISG15	0.38872
chr1_901998_902443	AGRN	0.29086
chr1_901998_902443	ISG15	0.38872
chr1_911217_912042	AGRN	0.34453
chr1_911217_912042	SAMD11	0.30237
chr1_935268_936357	AGRN	0.24961
chr1_935268_936357	AURKAIP1	-0.476159
chr1_935268_936357	DVL1	-0.545365
chr1_935268_936357	GNB1	0.461871
chr1_935268_936357	ISG15	-0.435505
chr1_935268_936357	NADK	-0.608391
chr1_935268_936357	PUSL1	-0.635733
chr1_935268_936357	SAMD11	0.21739
chr1_937121_937364	AGRN	0.28504
chr1_937121_937364	AURKAIP1	-0.476159
chr1_937121_937364	DVL1	-0.545365
chr1_937121_937364	GNB1	0.461871
chr1_937121_937364	ISG15	-0.435505
chr1_937121_937364	NADK	-0.608391
chr1_937121_937364	PUSL1	-0.635733
chr1_948539_949259	AURKAIP1	-0.446229
chr1_948539_949259	DVL1	-0.557048
chr1_948539_949259	NADK	-0.454951
chr1_948539_949259	PUSL1	-0.500526
chr1_954530_955702	AGRN	0.33215
chr1_954530_955702	DVL1	-0.459837
chr1_954530_955702	GNB1	0.431521
chr1_954530_955702	NADK	-0.429614
chr1_954530_955702	PUSL1	-0.489888
chr1_954530_955702	SAMD11	0.33112
chr1_956470_956707	AGRN	0.34373
chr1_956470_956707	DVL1	-0.459837
chr1_956470_956707	GNB1	0.431521
chr1_956470_956707	NADK	-0.429614
chr1_956470_956707	PUSL1	-0.489888
chr1_956470_956707	SAMD11	0.27249
chr1_959974_960383	AGRN	0.56715
chr1_960458_960708	AGRN	0.29434
chr1_960458_960708	NOC2L	-0.22948
chr1_967860_968132	AGRN	0.30364
chr1_968184_968905	AGRN	0.21849
chr1_968184_968905	DVL1	-0.440237
chr1_968184_968905	ISG15	-0.22501
chr1_975979_976203	NOC2L	0.33562
chr1_975979_976203	VWA1	-0.401362
chr1_994516_995211	ISG15	0.53276
chr1_1008968_1009892	AGRN	0.20565
chr1_1008968_1009892	PRKCZ	0.454394
chr1_1014747_1015934	AGRN	0.21328
chr1_1014747_1015934	ISG15	0.21063
chr1_1051154_1052291	GNB1	0.450757
chr1_1057324_1057812	DVL1	-0.409631
chr1_1067901_1068184	MRPL20	-0.410512
chr1_1067901_1068184	PUSL1	-0.490778
chr1_1067901_1068184	SLC35E2B	0.404041
chr1_1068750_1068975	MRPL20	-0.410512
chr1_1068750_1068975	PUSL1	-0.490778
chr1_1068750_1068975	SLC35E2B	0.404041
chr1_1071875_1072110	MRPL20	-0.410512
chr1_1071875_1072110	PUSL1	-0.490778
chr1_1071875_1072110	SLC35E2B	0.404041
chr1_1092754_1093964	AGRN	0.453067
chr1_1097964_1098811	AGRN	0.564364
chr1_1097964_1098811	PRKCZ	0.511388
chr1_1172836_1173144	PUSL1	-0.24025
chr1_1207790_1208175	DVL1	0.23285
