RE	TG	Weight
chr1_564893_565409	ATAD3A	0.412529
chr1_567189_567702	ATAD3A	0.453993
chr1_567189_567702	AURKAIP1	0.400246
chr1_567189_567702	NOC2L	0.435327
chr1_567189_567702	PUSL1	0.421578
chr1_569100_570275	PUSL1	0.43885
chr1_752655_752890	PUSL1	-0.410281
chr1_753259_753472	PUSL1	-0.410281
chr1_754043_754462	PUSL1	-0.410281
chr1_805152_805522	MXRA8	-0.43054
chr1_839960_840257	GNB1	0.466351
chr1_839960_840257	PUSL1	-0.44313
chr1_840628_840960	AURKAIP1	-0.489111
chr1_840628_840960	GNB1	0.407437
chr1_840628_840960	PUSL1	-0.657991
chr1_859027_859348	AGRN	0.27566
chr1_859027_859348	GNB1	0.452062
chr1_859027_859348	PUSL1	-0.421251
chr1_860121_860425	AGRN	0.29983
chr1_860121_860425	AURKAIP1	-0.431154
chr1_860121_860425	PUSL1	-0.587597
chr1_861009_861235	AGRN	0.40286
chr1_861009_861235	AURKAIP1	-0.448422
chr1_861009_861235	GNB1	0.434987
chr1_861009_861235	PUSL1	-0.539638
chr1_877012_877287	AGRN	0.34676
chr1_877012_877287	AURKAIP1	-0.512421
chr1_877012_877287	GNB1	0.409833
chr1_877012_877287	MXRA8	0.425778
chr1_877012_877287	PUSL1	-0.62893
chr1_877012_877287	SLC35E2B	0.416389
chr1_878597_878805	AGRN	0.27166
chr1_878597_878805	AURKAIP1	-0.512421
chr1_878597_878805	GNB1	0.409833
chr1_878597_878805	MXRA8	0.425778
chr1_878597_878805	PUSL1	-0.62893
chr1_878597_878805	SLC35E2B	0.416389
chr1_879761_880022	AGRN	0.33431
chr1_879761_880022	AURKAIP1	-0.512421
chr1_879761_880022	GNB1	0.409833
chr1_879761_880022	MXRA8	0.425778
chr1_879761_880022	PUSL1	-0.62893
chr1_879761_880022	SLC35E2B	0.416389
chr1_902182_902469	AGRN	0.29086
chr1_917426_917812	AGRN	-0.20979
chr1_935388_936372	AGRN	0.24961
chr1_935388_936372	AURKAIP1	-0.476159
chr1_935388_936372	GNB1	0.461871
chr1_935388_936372	PUSL1	-0.635733
chr1_948639_949334	AURKAIP1	-0.446229
chr1_948639_949334	PUSL1	-0.500526
chr1_954605_955216	AGRN	0.33215
chr1_954605_955216	GNB1	0.431521
chr1_954605_955216	PUSL1	-0.489888
chr1_955390_955663	AGRN	0.33215
chr1_955390_955663	GNB1	0.431521
chr1_955390_955663	PUSL1	-0.489888
chr1_968260_968648	AGRN	0.21849
chr1_976112_976327	NOC2L	0.33562
chr1_1014819_1015334	AGRN	0.38378
chr1_1015530_1015898	AGRN	0.21328
chr1_1051203_1052226	GNB1	0.450757
chr1_1091389_1091628	AGRN	0.453067
chr1_1092792_1093975	AGRN	0.453067
chr1_1189523_1189808	PUSL1	0.27093
chr1_1253660_1253920	AURKAIP1	0.25025
chr1_1253660_1253920	MRPL20	0.20174
chr1_1253660_1253920	SLC35E2B	-0.412064
chr1_1259882_1260480	MXRA8	-0.20918
chr1_1268953_1269186	AURKAIP1	0.33289
chr1_1268953_1269186	GNB1	-0.507617
chr1_1268953_1269186	MRPL20	0.21684
chr1_1268953_1269186	PUSL1	0.27562
chr1_1287078_1287367	MXRA8	0.20841
chr1_1287078_1287367	PUSL1	-0.2316
chr1_1287078_1287367	SKI	0.41258
chr1_1287437_1287731	MXRA8	0.20841
chr1_1287437_1287731	PUSL1	-0.2316
chr1_1287437_1287731	SKI	0.41258
chr1_1293839_1294372	AURKAIP1	-0.26853
chr1_1293839_1294372	MXRA8	0.34944
chr1_1293839_1294372	PUSL1	-0.47306
chr1_1295075_1295517	MXRA8	0.38107
chr1_1295075_1295517	PUSL1	-0.20886
chr1_1295921_1296227	MXRA8	0.38107
chr1_1295921_1296227	PUSL1	-0.20886
chr1_1297417_1297624	MXRA8	0.39617
chr1_1297417_1297624	PUSL1	-0.241
chr1_1310324_1311055	GNB1	0.436171
chr1_1321165_1321390	PUSL1	0.20096
chr1_1334505_1335266	AURKAIP1	0.22553
chr1_1342350_1342878	AURKAIP1	-0.20391
chr1_1355259_1355484	ATAD3A	-0.3276
chr1_1355259_1355484	AURKAIP1	-0.28867
chr1_1362700_1362905	AURKAIP1	-0.27667
chr1_1365714_1366034	ATAD3A	-0.3617
chr1_1365714_1366034	AURKAIP1	-0.32682
chr1_1365714_1366034	MMP23B	0.458698
chr1_1365714_1366034	MXRA8	0.24543
chr1_1365714_1366034	PUSL1	-0.519688
chr1_1367043_1367268	ATAD3A	-0.24378
chr1_1367043_1367268	MMP23B	0.458698
chr1_1367043_1367268	MXRA8	0.31856
chr1_1367043_1367268	PUSL1	-0.519688
chr1_1367292_1367619	ATAD3A	-0.24378
chr1_1367292_1367619	AURKAIP1	-0.21913
chr1_1367292_1367619	MMP23B	0.458698
chr1_1367292_1367619	MXRA8	0.31856
chr1_1367292_1367619	PUSL1	-0.519688
chr1_1368606_1368861	ATAD3A	-0.21258
chr1_1368606_1368861	AURKAIP1	-0.21845
chr1_1368606_1368861	MMP23B	0.458698
chr1_1368606_1368861	PUSL1	-0.519688
chr1_1397705_1398078	ATAD3A	0.33831
chr1_1397705_1398078	AURKAIP1	0.22559
chr1_1397705_1398078	MRPL20	0.32499
chr1_1406775_1407275	GNB1	0.44116
chr1_1406775_1407275	RER1	0.444497
chr1_1446899_1447642	GNB1	0.470385
chr1_1475813_1476255	PUSL1	-0.412526
chr1_1509735_1510910	GNB1	0.452296
chr1_1509735_1510910	PUSL1	-0.420892
chr1_1532521_1532751	MMP23B	-0.20467
chr1_1550421_1551356	SLC35E2B	0.28482
chr1_1565709_1567062	AURKAIP1	-0.477384
chr1_1565709_1567062	MMP23B	0.32733
chr1_1565709_1567062	PUSL1	-0.555753
chr1_1565709_1567062	SLC35E2B	0.30526
chr1_1567222_1567448	AURKAIP1	-0.477384
chr1_1567222_1567448	MMP23B	0.32733
chr1_1567222_1567448	PUSL1	-0.555753
chr1_1567222_1567448	SLC35E2B	0.30526
chr1_1590206_1590840	SLC35E2B	0.21333
chr1_1636003_1636203	SLC35E2B	-0.26968
chr1_1669038_1669504	SLC35E2B	-0.24811
chr1_1695687_1696020	SLC35E2B	-0.20282
chr1_1784226_1784438	GNB1	-0.24317
chr1_1790033_1790417	GNB1	0.37589
chr1_1790578_1790849	GNB1	0.31192
chr1_1822404_1823641	GNB1	0.25735
chr1_1837702_1837993	GNB1	0.38552
chr1_1850556_1851287	GNB1	0.26112
chr1_1861685_1861976	GNB1	-0.25989
chr1_1865285_1865485	GNB1	-0.27571
chr1_1891298_1891702	GNB1	0.33323
chr1_1891298_1891702	RER1	0.407216
chr1_1920985_1921248	AURKAIP1	-0.496533
chr1_1920985_1921248	PUSL1	-0.575755
chr1_2064295_2065469	GNB1	0.600511
chr1_2064295_2065469	SKI	0.34476
chr1_2066928_2067220	GNB1	0.600511
chr1_2066928_2067220	SKI	0.25279
chr1_2105757_2106391	SKI	0.39152
chr1_2126154_2126869	PUSL1	-0.468552
chr1_2135786_2137001	MXRA8	0.407412
chr1_2135786_2137001	PUSL1	-0.412685
chr1_2135786_2137001	SKI	0.39923
chr1_2138990_2139511	MXRA8	0.407412
chr1_2138990_2139511	PUSL1	-0.412685
chr1_2138990_2139511	SKI	0.27669
chr1_2139734_2139951	MXRA8	0.407412
chr1_2139734_2139951	PUSL1	-0.412685
chr1_2139734_2139951	SKI	0.27669
chr1_2143871_2144453	MXRA8	0.447714
chr1_2143871_2144453	PUSL1	-0.52917
chr1_2143871_2144453	SKI	0.21947
chr1_2145474_2145811	MXRA8	0.447714
chr1_2145474_2145811	PUSL1	-0.52917
chr1_2145474_2145811	SKI	0.45815
chr1_2207228_2207527	AURKAIP1	-0.533216
chr1_2207228_2207527	GNB1	0.423912
chr1_2207228_2207527	MXRA8	0.500288
chr1_2207228_2207527	PUSL1	-0.660875
chr1_2209574_2209844	AURKAIP1	-0.533216
chr1_2209574_2209844	GNB1	0.423912
chr1_2209574_2209844	MXRA8	0.500288
chr1_2209574_2209844	PUSL1	-0.660875
chr1_2209574_2209844	SKI	0.29631
chr1_2210597_2210916	AURKAIP1	-0.533216
chr1_2210597_2210916	GNB1	0.423912
chr1_2210597_2210916	MXRA8	0.500288
chr1_2210597_2210916	PUSL1	-0.660875
chr1_2210597_2210916	SKI	0.26148
chr1_2222021_2222559	RER1	0.2002
chr1_2230657_2231066	MXRA8	-0.436476
chr1_2232354_2232734	MXRA8	-0.436476
chr1_2242707_2243159	AURKAIP1	-0.432469
chr1_2242707_2243159	MMP23B	0.456053
chr1_2242707_2243159	PUSL1	-0.564307
chr1_2242707_2243159	SKI	0.32311
chr1_2253562_2254154	ATAD3A	-0.426283
chr1_2253562_2254154	AURKAIP1	-0.464202
chr1_2253562_2254154	MMP23B	0.454941
chr1_2253562_2254154	SKI	0.37578
chr1_2312974_2313481	RER1	-0.20153
chr1_2322752_2323399	RER1	0.31885
chr1_2343887_2344423	RER1	0.31161
chr1_2345885_2346176	RER1	0.20745
chr1_3528153_3528416	TPRG1L	-0.22626
