RE	TG	Weight
chr1_565549_565847	ATAD3A	0.469637
chr1_565549_565847	NOC2L	0.463565
chr1_567194_567698	ATAD3A	0.453993
chr1_567194_567698	AURKAIP1	0.400246
chr1_567194_567698	NOC2L	0.435327
chr1_567194_567698	PUSL1	0.421578
chr1_567822_568337	OR4F3	0.463715
chr1_569108_570059	OR4F3	0.460289
chr1_569108_570059	PUSL1	0.43885
chr1_713753_714332	DVL1	-0.403956
chr1_752346_753552	PUSL1	-0.410281
chr1_754020_754561	PUSL1	-0.410281
chr1_839736_840263	DVL1	-0.461478
chr1_839736_840263	GNB1	0.466351
chr1_839736_840263	NADK	-0.422763
chr1_839736_840263	PUSL1	-0.44313
chr1_839736_840263	SAMD11	0.33882
chr1_845427_845773	AGRN	0.435791
chr1_845427_845773	AURKAIP1	-0.404063
chr1_845427_845773	DVL1	-0.462269
chr1_845427_845773	ISG15	-0.464639
chr1_845427_845773	PUSL1	-0.531613
chr1_845427_845773	SAMD11	0.602396
chr1_856480_856703	AGRN	0.41476
chr1_856480_856703	AURKAIP1	-0.493575
chr1_856480_856703	DVL1	-0.590596
chr1_856480_856703	GNB1	0.441108
chr1_856480_856703	ISG15	-0.550448
chr1_856480_856703	NADK	-0.532285
chr1_856480_856703	PUSL1	-0.67499
chr1_856480_856703	SAMD11	0.55327
chr1_858986_859399	AGRN	0.27566
chr1_858986_859399	AURKAIP1	-0.431154
chr1_858986_859399	DVL1	-0.477802
chr1_858986_859399	GNB1	0.452062
chr1_858986_859399	ISG15	-0.53117
chr1_858986_859399	NADK	-0.509492
chr1_858986_859399	PUSL1	-0.587597
chr1_858986_859399	SAMD11	0.26121
chr1_875603_876024	AGRN	0.40956
chr1_875603_876024	AURKAIP1	-0.512421
chr1_875603_876024	DVL1	-0.560736
chr1_875603_876024	GNB1	0.409833
chr1_875603_876024	ISG15	-0.55738
chr1_875603_876024	MXRA8	0.425778
chr1_875603_876024	NADK	-0.493352
chr1_875603_876024	PUSL1	-0.62893
chr1_875603_876024	SAMD11	0.613343
chr1_875603_876024	SLC35E2B	0.416389
chr1_876944_877406	AGRN	0.34676
chr1_876944_877406	AURKAIP1	-0.512421
chr1_876944_877406	DVL1	-0.560736
chr1_876944_877406	GNB1	0.409833
chr1_876944_877406	ISG15	-0.55738
chr1_876944_877406	MXRA8	0.425778
chr1_876944_877406	NADK	-0.493352
chr1_876944_877406	PUSL1	-0.62893
chr1_876944_877406	SAMD11	0.43236
chr1_876944_877406	SLC35E2B	0.416389
chr1_894473_895271	ISG15	0.22522
chr1_895798_896384	ISG15	0.22522
chr1_895798_896384	NOC2L	0.20854
chr1_901795_902545	AGRN	0.29086
chr1_901795_902545	ISG15	0.38872
chr1_911338_912022	AGRN	0.34453
chr1_911338_912022	SAMD11	0.30237
chr1_934385_934591	AGRN	0.23247
chr1_934385_934591	AURKAIP1	-0.476159
chr1_934385_934591	DVL1	-0.545365
chr1_934385_934591	GNB1	0.461871
chr1_934385_934591	ISG15	-0.435505
chr1_934385_934591	NADK	-0.608391
chr1_934385_934591	PUSL1	-0.635733
chr1_934873_935129	AURKAIP1	-0.476159
chr1_934873_935129	DVL1	-0.545365
chr1_934873_935129	GNB1	0.461871
chr1_934873_935129	ISG15	-0.435505
chr1_934873_935129	NADK	-0.608391
