RE	TG	Weight
chr1_569733_570054	PUSL1	0.43885
chr1_713897_714400	DVL1	-0.403956
chr1_752537_752858	PUSL1	-0.410281
chr1_894524_894874	ISG15	0.22522
chr1_901425_901625	AGRN	0.29086
chr1_901425_901625	ISG15	0.44514
chr1_901425_901625	PLEKHN1	0.32208
chr1_902194_902503	AGRN	0.29086
chr1_902194_902503	ISG15	0.38872
chr1_902194_902503	PLEKHN1	0.417113
chr1_911453_911754	AGRN	0.34453
chr1_935426_935675	AGRN	0.24961
chr1_935426_935675	AURKAIP1	-0.476159
chr1_935426_935675	CALML6	0.43385
chr1_935426_935675	DVL1	-0.545365
chr1_935426_935675	GNB1	0.461871
chr1_935426_935675	ISG15	-0.435505
chr1_935426_935675	NADK	-0.608391
chr1_935426_935675	PUSL1	-0.635733
chr1_936130_936446	AGRN	0.24961
chr1_936130_936446	AURKAIP1	-0.476159
chr1_936130_936446	CALML6	0.43385
chr1_936130_936446	DVL1	-0.545365
chr1_936130_936446	GNB1	0.461871
chr1_936130_936446	ISG15	-0.435505
chr1_936130_936446	NADK	-0.608391
chr1_936130_936446	PUSL1	-0.635733
chr1_948509_949005	AURKAIP1	-0.446229
chr1_948509_949005	DVL1	-0.557048
chr1_948509_949005	NADK	-0.454951
chr1_948509_949005	PUSL1	-0.500526
chr1_954640_954948	AGRN	0.33215
chr1_954640_954948	DVL1	-0.459837
chr1_954640_954948	GNB1	0.431521
chr1_954640_954948	NADK	-0.429614
chr1_954640_954948	PUSL1	-0.489888
chr1_968427_968629	AGRN	0.21849
chr1_968427_968629	DVL1	-0.440237
chr1_968427_968629	PLEKHN1	-0.23359
chr1_1005247_1005719	AGRN	0.31137
chr1_1051381_1051854	GNB1	0.450757
chr1_1057588_1057802	DVL1	-0.409631
chr1_1092804_1093107	AGRN	0.453067
chr1_1217493_1217774	AURKAIP1	0.45579
chr1_1217493_1217774	DVL1	0.35894
chr1_1217493_1217774	NADK	0.47326
chr1_1217493_1217774	PUSL1	0.27615
chr1_1243482_1244099	DVL1	-0.30113
chr1_1280209_1280494	AURKAIP1	0.482
chr1_1280209_1280494	DVL1	0.446362
chr1_1280209_1280494	MRPL20	0.29808
chr1_1280209_1280494	PUSL1	0.40951
chr1_1310521_1311090	GNB1	0.436171
chr1_1334645_1335049	DVL1	-0.21228
chr1_1342429_1342880	AURKAIP1	-0.20391
chr1_1342429_1342880	DVL1	-0.407818
chr1_1406956_1407249	GNB1	0.44116
chr1_1406956_1407249	RER1	0.444497
chr1_1447031_1447644	GNB1	0.470385
chr1_1509214_1509475	DVL1	-0.456006
chr1_1509214_1509475	GNB1	0.452296
chr1_1509214_1509475	NADK	-0.401597
chr1_1509214_1509475	PUSL1	-0.420892
chr1_1509907_1510451	DVL1	-0.456006
chr1_1509907_1510451	GNB1	0.452296
chr1_1509907_1510451	NADK	-0.401597
chr1_1509907_1510451	PUSL1	-0.420892
chr1_1542512_1542819	AGRN	-0.418725
chr1_1550543_1550923	SLC35E2B	0.28482
chr1_1565679_1565990	AURKAIP1	-0.477384
chr1_1565679_1565990	CALML6	0.472164
chr1_1565679_1565990	CDK11B	0.24086
chr1_1565679_1565990	DVL1	-0.516582
chr1_1565679_1565990	NADK	-0.52694
chr1_1565679_1565990	PUSL1	-0.555753
chr1_1565679_1565990	SLC35E2B	0.41197
chr1_1590350_1590789	CDK11B	0.24001
chr1_1590350_1590789	SLC35E2B	0.21333
chr1_1617628_1618136	ISG15	0.403509
chr1_1617628_1618136	NADK	0.32422
chr1_1617628_1618136	SLC35E2B	-0.22272
chr1_1672422_1672731	SLC35E2B	-0.28105
chr1_1695694_1696078	NADK	0.24375
chr1_1695694_1696078	SLC35E2B	-0.20282
chr1_1696581_1696806	NADK	0.26849
chr1_1711329_1711690	NADK	0.23806
chr1_1711807_1712157	NADK	0.23806
chr1_1790081_1790397	CALML6	0.23899
chr1_1790081_1790397	GNB1	0.37589
chr1_1821600_1821845	CALML6	0.22244
chr1_1822430_1822734	GNB1	0.25735
chr1_1837695_1838000	GNB1	0.38552
chr1_1850669_1851248	GNB1	0.26112
chr1_1891311_1891801	GNB1	0.33323
chr1_1891311_1891801	RER1	0.407216
chr1_2064451_2065185	DVL1	-0.443351
chr1_2064451_2065185	GNB1	0.600511
chr1_2064451_2065185	SKI	0.34476
chr1_2071196_2071659	DVL1	-0.443351
chr1_2071196_2071659	GNB1	0.600511
chr1_2105786_2106072	CALML6	0.554458
chr1_2126565_2126933	NADK	-0.454122
chr1_2126565_2126933	PUSL1	-0.468552
chr1_2136059_2136908	CALML6	0.421947
