RE	TG	Weight
chr1_713844_714415	DVL1	-0.403956
chr1_752486_752803	PUSL1	-0.410281
chr1_754039_754582	PUSL1	-0.410281
chr1_804912_805661	MXRA8	-0.43054
chr1_804912_805661	VWA1	-0.496724
chr1_839168_839945	DVL1	-0.461478
chr1_839168_839945	GNB1	0.466351
chr1_839168_839945	NADK	-0.422763
chr1_839168_839945	PUSL1	-0.44313
chr1_839980_840351	DVL1	-0.461478
chr1_839980_840351	GNB1	0.466351
chr1_839980_840351	NADK	-0.422763
chr1_839980_840351	PUSL1	-0.44313
chr1_840710_840990	AURKAIP1	-0.489111
chr1_840710_840990	DVL1	-0.576037
chr1_840710_840990	GNB1	0.407437
chr1_840710_840990	ISG15	-0.51136
chr1_840710_840990	NADK	-0.526215
chr1_840710_840990	PUSL1	-0.657991
chr1_840710_840990	SSU72	-0.453403
chr1_845506_845747	AGRN	0.435791
chr1_845506_845747	AURKAIP1	-0.404063
chr1_845506_845747	DVL1	-0.462269
chr1_845506_845747	ISG15	-0.464639
chr1_845506_845747	PUSL1	-0.531613
chr1_856469_856731	AGRN	0.41476
chr1_856469_856731	AURKAIP1	-0.493575
chr1_856469_856731	DVL1	-0.590596
chr1_856469_856731	GNB1	0.441108
chr1_856469_856731	ISG15	-0.550448
chr1_856469_856731	NADK	-0.532285
chr1_856469_856731	PUSL1	-0.67499
chr1_856469_856731	SSU72	-0.431098
chr1_859041_859459	AGRN	0.27566
chr1_859041_859459	AURKAIP1	-0.431154
chr1_859041_859459	DVL1	-0.477802
chr1_859041_859459	GNB1	0.452062
chr1_859041_859459	ISG15	-0.53117
chr1_859041_859459	NADK	-0.509492
chr1_859041_859459	PUSL1	-0.587597
chr1_859041_859459	SSU72	-0.404257
chr1_860019_860341	AGRN	0.29983
chr1_860019_860341	AURKAIP1	-0.431154
chr1_860019_860341	DVL1	-0.477802
chr1_860019_860341	ISG15	-0.53117
chr1_860019_860341	NADK	-0.509492
chr1_860019_860341	PUSL1	-0.587597
chr1_860019_860341	SSU72	-0.404257
chr1_870920_871133	ISG15	-0.24845
chr1_871242_871531	AGRN	0.22769
chr1_871242_871531	ISG15	-0.24845
chr1_875518_876147	AGRN	0.40956
chr1_875518_876147	AURKAIP1	-0.512421
chr1_875518_876147	DVL1	-0.560736
chr1_875518_876147	GNB1	0.409833
chr1_875518_876147	ISG15	-0.55738
chr1_875518_876147	MXRA8	0.425778
chr1_875518_876147	NADK	-0.493352
chr1_875518_876147	PUSL1	-0.62893
chr1_875518_876147	SLC35E2B	0.416389
chr1_875518_876147	SSU72	-0.427361
chr1_876845_877431	AGRN	0.34676
chr1_876845_877431	AURKAIP1	-0.512421
chr1_876845_877431	DVL1	-0.560736
chr1_876845_877431	GNB1	0.409833
chr1_876845_877431	ISG15	-0.55738
chr1_876845_877431	MXRA8	0.425778
chr1_876845_877431	NADK	-0.493352
chr1_876845_877431	PUSL1	-0.62893
chr1_876845_877431	SLC35E2B	0.416389
chr1_876845_877431	SSU72	-0.427361
chr1_894145_895159	ISG15	0.22522
chr1_895780_896905	ISG15	0.22522
chr1_895780_896905	NOC2L	0.20854
chr1_901820_902663	AGRN	0.29086
chr1_901820_902663	ISG15	0.38872
chr1_911212_912029	AGRN	0.34453
chr1_934468_934747	AGRN	0.23247
chr1_934468_934747	AURKAIP1	-0.476159
chr1_934468_934747	CALML6	0.43385
chr1_934468_934747	DVL1	-0.545365
chr1_934468_934747	GNB1	0.461871
chr1_934468_934747	ISG15	-0.435505
chr1_934468_934747	NADK	-0.608391
chr1_934468_934747	PUSL1	-0.635733
chr1_935300_936438	AGRN	0.24961
chr1_935300_936438	AURKAIP1	-0.476159
chr1_935300_936438	CALML6	0.43385
chr1_935300_936438	DVL1	-0.545365
chr1_935300_936438	GNB1	0.461871
chr1_935300_936438	ISG15	-0.435505
chr1_935300_936438	NADK	-0.608391
chr1_935300_936438	PUSL1	-0.635733
chr1_937225_937502	AGRN	0.28504
chr1_937225_937502	AURKAIP1	-0.476159
chr1_937225_937502	CALML6	0.43385
chr1_937225_937502	DVL1	-0.545365
chr1_937225_937502	GNB1	0.461871
chr1_937225_937502	ISG15	-0.435505
chr1_937225_937502	NADK	-0.608391
chr1_937225_937502	PUSL1	-0.635733
chr1_948482_949388	AURKAIP1	-0.446229
chr1_948482_949388	DVL1	-0.557048
chr1_948482_949388	NADK	-0.454951
chr1_948482_949388	PUSL1	-0.500526
chr1_949609_950054	AURKAIP1	-0.446229
chr1_949609_950054	DVL1	-0.557048
chr1_949609_950054	NADK	-0.454951
chr1_949609_950054	PUSL1	-0.500526
chr1_950275_950509	AURKAIP1	-0.446229
chr1_950275_950509	DVL1	-0.557048
chr1_950275_950509	NADK	-0.454951
chr1_950275_950509	PUSL1	-0.500526
chr1_954690_955687	AGRN	0.33215
chr1_954690_955687	DVL1	-0.459837
chr1_954690_955687	GNB1	0.431521
chr1_954690_955687	NADK	-0.429614
chr1_954690_955687	PUSL1	-0.489888
chr1_956491_956750	AGRN	0.34373
chr1_956491_956750	DVL1	-0.459837
chr1_956491_956750	GNB1	0.431521
chr1_956491_956750	NADK	-0.429614
chr1_956491_956750	PUSL1	-0.489888
chr1_960430_960835	AGRN	0.29434
chr1_960430_960835	NOC2L	-0.22948
chr1_967869_968958	AGRN	0.21849
chr1_967869_968958	DVL1	-0.440237
chr1_967869_968958	ISG15	-0.22501
chr1_975949_976417	NOC2L	0.33562
chr1_975949_976417	VWA1	-0.401362
chr1_994653_995387	ISG15	0.53276
chr1_1014834_1016005	AGRN	0.21328
chr1_1014834_1016005	ISG15	0.21063
chr1_1016434_1016650	AGRN	0.21328
chr1_1035743_1035967	ISG15	0.36624
chr1_1051074_1052358	GNB1	0.450757
chr1_1057315_1058027	DVL1	-0.409631
chr1_1073115_1073550	MRPL20	-0.410512
chr1_1073115_1073550	PUSL1	-0.490778
chr1_1073115_1073550	SLC35E2B	0.404041
chr1_1073115_1073550	SSU72	-0.403826
chr1_1092296_1092668	AGRN	0.453067
chr1_1092719_1094147	AGRN	0.453067
chr1_1100914_1101184	AGRN	0.564364
chr1_1100914_1101184	PRKCZ	0.511388
chr1_1141246_1141512	CALML6	0.467837
chr1_1141758_1142147	CALML6	0.467837
chr1_1143464_1144243	CALML6	0.467837
chr1_1153038_1154523	PUSL1	0.24532
chr1_1160675_1162007	PUSL1	0.2541
chr1_1162370_1162636	PUSL1	0.2541
chr1_1186022_1186222	ISG15	0.427455
chr1_1186022_1186222	MXRA8	-0.449629
chr1_1193794_1194383	DVL1	0.25685
chr1_1193794_1194383	PUSL1	0.3137
chr1_1202665_1202875	DVL1	0.36321
chr1_1202665_1202875	PUSL1	0.35418
chr1_1208686_1210609	AURKAIP1	0.2157
chr1_1208686_1210609	DVL1	0.23767
chr1_1208686_1210609	MXRA8	-0.21836
chr1_1208686_1210609	PUSL1	0.2054
chr1_1216493_1217845	AURKAIP1	0.45579
chr1_1216493_1217845	DVL1	0.35894
chr1_1216493_1217845	NADK	0.47326
chr1_1216493_1217845	PUSL1	0.26703
chr1_1226391_1227647	AURKAIP1	0.23434
chr1_1226391_1227647	DVL1	-0.24645
chr1_1227942_1228721	AURKAIP1	0.3484
chr1_1227942_1228721	DVL1	0.24372
chr1_1234258_1234726	DVL1	-0.21166
chr1_1234258_1234726	PUSL1	-0.30832
chr1_1238218_1238472	DVL1	0.33069
chr1_1238218_1238472	PUSL1	0.26045
chr1_1242977_1244199	DVL1	-0.30113
chr1_1253636_1253843	AURKAIP1	0.25025
chr1_1253636_1253843	DVL1	0.21396
chr1_1253636_1253843	MRPL20	0.20174
chr1_1253636_1253843	SLC35E2B	-0.412064
chr1_1259644_1260866	ANKRD65	-0.23336
chr1_1259644_1260866	AURKAIP1	0.30402
chr1_1259644_1260866	DVL1	0.46313
chr1_1259644_1260866	MXRA8	-0.20918
chr1_1268217_1269824	ANKRD65	0.24621
chr1_1268217_1269824	AURKAIP1	0.31811
chr1_1268217_1269824	DVL1	0.52737
chr1_1268217_1269824	GNB1	-0.507617
chr1_1268217_1269824	MRPL20	0.21684
chr1_1268217_1269824	PUSL1	0.27562
chr1_1281572_1281856	AURKAIP1	0.33983
chr1_1281572_1281856	DVL1	0.446362
chr1_1281572_1281856	MRPL20	0.27613
chr1_1281572_1281856	PUSL1	0.27901
chr1_1283453_1283681	AURKAIP1	0.24064
chr1_1283453_1283681	DVL1	0.33571
chr1_1284269_1285341	DVL1	-0.23269
chr1_1284269_1285341	MXRA8	0.2369
chr1_1284269_1285341	PUSL1	-0.35903
chr1_1290791_1291075	AURKAIP1	-0.21763
chr1_1290791_1291075	DVL1	-0.27392
chr1_1290791_1291075	MXRA8	0.36768
chr1_1290791_1291075	PUSL1	-0.22642
chr1_1293869_1294140	AURKAIP1	-0.26853
chr1_1293869_1294140	CALML6	0.425885
chr1_1293869_1294140	DVL1	-0.36693
chr1_1293869_1294140	MXRA8	0.34944
chr1_1293869_1294140	NADK	-0.408636
chr1_1293869_1294140	PUSL1	-0.47306
chr1_1295923_1296192	CALML6	0.425885
chr1_1295923_1296192	MXRA8	0.38107
chr1_1295923_1296192	NADK	-0.408636
chr1_1295923_1296192	PUSL1	-0.20886
chr1_1307269_1307753	VWA1	-0.409709
chr1_1309931_1311081	GNB1	0.436171
chr1_1315884_1316194	ANKRD65	0.23168
chr1_1315884_1316194	AURKAIP1	0.21528
chr1_1315884_1316194	DVL1	0.34619
chr1_1315884_1316194	PUSL1	0.25556
chr1_1316763_1317120	ANKRD65	0.23168
chr1_1316763_1317120	DVL1	0.2791
chr1_1316763_1317120	PUSL1	0.27393
chr1_1319327_1319546	DVL1	0.21583
chr1_1319327_1319546	PUSL1	0.20817
chr1_1321086_1321315	DVL1	0.24441
chr1_1321086_1321315	PUSL1	0.20096
chr1_1321381_1321629	DVL1	0.24441
chr1_1321381_1321629	PUSL1	0.20096
chr1_1321721_1321993	PUSL1	0.20096
chr1_1327322_1327560	DVL1	0.2436
chr1_1327973_1328201	DVL1	0.25414
chr1_1327973_1328201	PUSL1	0.25828
chr1_1328236_1328860	AURKAIP1	0.20867
