RE	TG	Weight
chr1_565543_565854	ATAD3A	0.469637
chr1_565543_565854	NOC2L	0.463565
chr1_566062_566783	OR4F3	0.419236
chr1_567181_567719	ATAD3A	0.453993
chr1_567181_567719	AURKAIP1	0.400246
chr1_567181_567719	NOC2L	0.435327
chr1_567181_567719	PUSL1	0.421578
chr1_567787_568474	OR4F3	0.463715
chr1_568738_568941	ATAD3A	0.404463
chr1_568738_568941	OR4F3	0.419876
chr1_569032_570276	ATAD3A	0.404463
chr1_569032_570276	OR4F3	0.21387
chr1_569032_570276	PUSL1	0.43885
chr1_713703_714571	DVL1	-0.403956
chr1_752332_754544	PUSL1	-0.410281
chr1_839718_840289	DVL1	-0.461478
chr1_839718_840289	GNB1	0.466351
chr1_839718_840289	NADK	-0.422763
chr1_839718_840289	PUSL1	-0.44313
chr1_840449_840831	AURKAIP1	-0.489111
chr1_840449_840831	C1orf159	-0.467509
chr1_840449_840831	DVL1	-0.576037
chr1_840449_840831	GNB1	0.407437
chr1_840449_840831	NADK	-0.526215
chr1_840449_840831	PUSL1	-0.657991
chr1_856470_856692	AGRN	0.41476
chr1_856470_856692	AURKAIP1	-0.493575
chr1_856470_856692	C1orf159	-0.44881
chr1_856470_856692	DVL1	-0.590596
chr1_856470_856692	GNB1	0.441108
chr1_856470_856692	NADK	-0.532285
chr1_856470_856692	PUSL1	-0.67499
chr1_858986_859389	AGRN	0.27566
chr1_858986_859389	AURKAIP1	-0.431154
chr1_858986_859389	C1orf159	-0.44308
chr1_858986_859389	DVL1	-0.477802
chr1_858986_859389	GNB1	0.452062
chr1_858986_859389	NADK	-0.509492
chr1_858986_859389	PUSL1	-0.587597
chr1_860248_860451	AGRN	0.29983
chr1_860248_860451	AURKAIP1	-0.431154
chr1_860248_860451	C1orf159	-0.44308
chr1_860248_860451	DVL1	-0.477802
chr1_860248_860451	NADK	-0.509492
chr1_860248_860451	PUSL1	-0.587597
chr1_860916_861159	AGRN	0.40286
chr1_860916_861159	AURKAIP1	-0.448422
chr1_860916_861159	C1orf159	-0.44308
chr1_860916_861159	DVL1	-0.559007
chr1_860916_861159	GNB1	0.434987
chr1_860916_861159	NADK	-0.509492
chr1_860916_861159	PUSL1	-0.587597
chr1_868451_868661	AGRN	0.211
chr1_873538_873740	AGRN	0.35301
chr1_875626_875985	AGRN	0.40956
chr1_875626_875985	AURKAIP1	-0.512421
chr1_875626_875985	C1orf159	-0.410441
chr1_875626_875985	DVL1	-0.560736
chr1_875626_875985	GNB1	0.409833
chr1_875626_875985	MXRA8	0.425778
chr1_875626_875985	NADK	-0.493352
chr1_875626_875985	PUSL1	-0.62893
chr1_875626_875985	SLC35E2B	0.416389
chr1_876932_877256	AGRN	0.34676
chr1_876932_877256	AURKAIP1	-0.512421
chr1_876932_877256	C1orf159	-0.410441
chr1_876932_877256	DVL1	-0.560736
chr1_876932_877256	GNB1	0.409833
chr1_876932_877256	MXRA8	0.425778
chr1_876932_877256	NADK	-0.493352
chr1_876932_877256	PUSL1	-0.62893
chr1_876932_877256	SLC35E2B	0.416389
chr1_895806_896396	NOC2L	0.20854
chr1_901569_901964	AGRN	0.29086
chr1_901979_902580	AGRN	0.29086
chr1_911290_912017	AGRN	0.34453
chr1_934450_934720	AGRN	0.23247
chr1_934450_934720	AURKAIP1	-0.476159
chr1_934450_934720	C1orf159	-0.445956
chr1_934450_934720	DVL1	-0.545365
chr1_934450_934720	GNB1	0.461871
chr1_934450_934720	NADK	-0.608391
chr1_934450_934720	PUSL1	-0.635733
chr1_934721_934977	AURKAIP1	-0.476159
chr1_934721_934977	C1orf159	-0.445956
chr1_934721_934977	DVL1	-0.545365
chr1_934721_934977	GNB1	0.461871
chr1_934721_934977	NADK	-0.608391
chr1_934721_934977	PUSL1	-0.635733
chr1_935056_936309	AGRN	0.24961
chr1_935056_936309	AURKAIP1	-0.476159
chr1_935056_936309	C1orf159	-0.445956
chr1_935056_936309	DVL1	-0.545365
chr1_935056_936309	GNB1	0.461871
chr1_935056_936309	NADK	-0.608391
chr1_935056_936309	PUSL1	-0.635733
chr1_937124_937387	AGRN	0.28504
chr1_937124_937387	AURKAIP1	-0.476159
chr1_937124_937387	C1orf159	-0.445956
chr1_937124_937387	DVL1	-0.545365
chr1_937124_937387	GNB1	0.461871
chr1_937124_937387	NADK	-0.608391
chr1_937124_937387	PUSL1	-0.635733
chr1_948432_949659	AURKAIP1	-0.446229
chr1_948432_949659	DVL1	-0.557048
chr1_948432_949659	NADK	-0.454951
chr1_948432_949659	PUSL1	-0.500526
chr1_954517_956054	AGRN	0.33215
chr1_954517_956054	C1orf159	-0.22057
chr1_954517_956054	DVL1	-0.459837
chr1_954517_956054	GNB1	0.431521
chr1_954517_956054	NADK	-0.429614
chr1_954517_956054	PUSL1	-0.489888
chr1_956491_956713	AGRN	0.34373
chr1_956491_956713	C1orf159	-0.20682
chr1_956491_956713	DVL1	-0.459837
chr1_956491_956713	GNB1	0.431521
chr1_956491_956713	NADK	-0.429614
chr1_956491_956713	PUSL1	-0.489888
chr1_967850_968939	AGRN	0.21849
chr1_967850_968939	C1orf159	-0.2127
chr1_967850_968939	DVL1	-0.440237
chr1_975721_976314	NOC2L	0.33562
chr1_975721_976314	VWA1	-0.401362
chr1_994524_995173	C1orf159	0.30851
chr1_1008910_1010327	AGRN	0.20565
chr1_1008910_1010327	PRKCZ	0.454394
chr1_1014774_1015915	AGRN	0.21328
chr1_1027603_1027807	C1orf159	0.23168
chr1_1027937_1028173	C1orf159	0.23168
chr1_1045024_1045682	C1orf159	0.24588
chr1_1051148_1052214	GNB1	0.450757
chr1_1057341_1057843	DVL1	-0.409631
chr1_1059811_1060893	C1orf159	0.25188
chr1_1059811_1060893	PRKCZ	0.416408
chr1_1068688_1068990	CCNL2	0.42561
chr1_1068688_1068990	PUSL1	-0.490778
chr1_1068688_1068990	SLC35E2B	0.404041
chr1_1071662_1072923	C1orf159	-0.23887
chr1_1071662_1072923	CCNL2	0.42561
chr1_1071662_1072923	PUSL1	-0.490778
chr1_1071662_1072923	SLC35E2B	0.404041
chr1_1073024_1073401	CCNL2	0.42561
chr1_1073024_1073401	PUSL1	-0.490778
chr1_1073024_1073401	SLC35E2B	0.404041
chr1_1085311_1085829	C1orf159	0.20319
chr1_1092741_1094112	AGRN	0.453067
chr1_1094840_1095072	AGRN	0.453067
chr1_1094840_1095072	C1orf159	0.26476
chr1_1097951_1098374	AGRN	0.564364
chr1_1097951_1098374	PRKCZ	0.511388
chr1_1102685_1102980	C1orf159	0.2079
chr1_1136412_1137083	C1orf159	-0.21436
chr1_1148226_1148574	AGRN	-0.403038
chr1_1148226_1148574	MXRA8	-0.480848
chr1_1148226_1148574	VWA1	-0.447549
chr1_1148725_1149210	AGRN	-0.403038
chr1_1148725_1149210	MXRA8	-0.480848
chr1_1148725_1149210	VWA1	-0.447549
chr1_1185564_1185766	MXRA8	-0.449629
chr1_1185564_1185766	PUSL1	-0.20647
