RE	TG	Weight
chr1_567198_567703	ATAD3A	0.453993
chr1_567198_567703	AURKAIP1	0.400246
chr1_567198_567703	NOC2L	0.435327
chr1_567198_567703	PUSL1	0.421578
chr1_567798_568358	OR4F3	0.463715
chr1_568732_568933	ATAD3A	0.404463
chr1_568732_568933	OR4F3	0.419876
chr1_569186_570278	OR4F3	0.21387
chr1_569186_570278	PUSL1	0.43885
chr1_713930_714237	DVL1	-0.403956
chr1_935420_935827	AGRN	0.24961
chr1_935420_935827	AURKAIP1	-0.476159
chr1_935420_935827	DVL1	-0.545365
chr1_935420_935827	GNB1	0.461871
chr1_935420_935827	NADK	-0.608391
chr1_935420_935827	PUSL1	-0.635733
chr1_948642_949004	AURKAIP1	-0.446229
chr1_948642_949004	DVL1	-0.557048
chr1_948642_949004	NADK	-0.454951
chr1_948642_949004	PUSL1	-0.500526
chr1_949060_949311	AURKAIP1	-0.446229
chr1_949060_949311	DVL1	-0.557048
chr1_949060_949311	NADK	-0.454951
chr1_949060_949311	PUSL1	-0.500526
chr1_954681_955353	AGRN	0.33215
chr1_954681_955353	DVL1	-0.459837
chr1_954681_955353	GNB1	0.431521
chr1_954681_955353	NADK	-0.429614
chr1_954681_955353	PUSL1	-0.489888
chr1_968480_968696	AGRN	0.21849
chr1_968480_968696	DVL1	-0.440237
chr1_1014861_1015086	AGRN	0.38378
chr1_1015213_1015773	AGRN	0.21328
chr1_1051254_1051904	GNB1	0.450757
chr1_1216935_1217593	AURKAIP1	0.45579
chr1_1216935_1217593	DVL1	0.35894
chr1_1216935_1217593	NADK	0.47326
chr1_1216935_1217593	PUSL1	0.26703
chr1_1243244_1243952	DVL1	-0.30113
chr1_1259871_1260684	AURKAIP1	0.30402
chr1_1259871_1260684	DVL1	0.46313
chr1_1279403_1279603	AURKAIP1	0.39663
chr1_1279403_1279603	DVL1	0.446362
chr1_1279403_1279603	MRPL20	0.21105
chr1_1279403_1279603	PUSL1	0.21878
chr1_1284695_1284897	DVL1	-0.23269
chr1_1310477_1310922	GNB1	0.436171
chr1_1334629_1335138	DVL1	-0.21228
chr1_1342491_1342865	AURKAIP1	-0.20391
chr1_1342491_1342865	DVL1	-0.407818
chr1_1367274_1367475	ATAD3A	-0.24378
chr1_1367274_1367475	NADK	-0.496793
chr1_1367274_1367475	PUSL1	-0.519688
chr1_1367274_1367475	VWA1	0.26974
chr1_1368476_1368961	ATAD3A	-0.31958
chr1_1368476_1368961	AURKAIP1	-0.21913
chr1_1368476_1368961	NADK	-0.496793
chr1_1368476_1368961	PUSL1	-0.519688
chr1_1368476_1368961	VWA1	0.30068
chr1_1406828_1407192	GNB1	0.44116
chr1_1406828_1407192	RER1	0.444497
chr1_1440209_1440409	VWA1	0.29668
chr1_1447120_1447620	GNB1	0.470385
chr1_1509667_1510481	DVL1	-0.456006
chr1_1509667_1510481	GNB1	0.452296
chr1_1509667_1510481	NADK	-0.401597
chr1_1509667_1510481	PUSL1	-0.420892
chr1_1550557_1551351	SLC35E2B	0.28482
chr1_1590123_1590932	SLC35E2B	0.21333
chr1_1610221_1610522	NADK	0.21734
chr1_1610221_1610522	SLC35E2B	0.29844
chr1_1677069_1678246	SLC35E2B	-0.23232
chr1_1689459_1689680	NADK	0.40529
chr1_1690205_1690628	NADK	0.37856
chr1_1695675_1695970	NADK	0.24375
chr1_1695675_1695970	SLC35E2B	-0.20282
chr1_1709786_1710097	NADK	-0.22384
chr1_1822386_1822703	GNB1	0.25735
