RE	TG	Weight
chr1_565544_565848	ATAD3A	0.469637
chr1_565544_565848	NOC2L	0.463565
chr1_567179_567713	ATAD3A	0.453993
chr1_567179_567713	AURKAIP1	0.400246
chr1_567179_567713	NOC2L	0.435327
chr1_567179_567713	PUSL1	0.421578
chr1_567792_568479	OR4F3	0.463715
chr1_568719_568937	ATAD3A	0.404463
chr1_568719_568937	OR4F3	0.419876
chr1_569038_569695	ATAD3A	0.404463
chr1_569038_569695	OR4F3	0.419876
chr1_569696_570271	OR4F3	0.21387
chr1_569696_570271	PUSL1	0.43885
chr1_713702_714338	DVL1	-0.403956
chr1_752308_754610	PUSL1	-0.410281
chr1_839685_840369	DVL1	-0.461478
chr1_839685_840369	GNB1	0.466351
chr1_839685_840369	PUSL1	-0.44313
chr1_840591_840839	AURKAIP1	-0.489111
chr1_840591_840839	DVL1	-0.576037
chr1_840591_840839	GNB1	0.407437
chr1_840591_840839	PUSL1	-0.657991
chr1_845413_845750	AGRN	0.435791
chr1_845413_845750	AURKAIP1	-0.404063
chr1_845413_845750	DVL1	-0.462269
chr1_845413_845750	PUSL1	-0.531613
chr1_845820_846245	AGRN	0.435791
chr1_845820_846245	AURKAIP1	-0.404063
chr1_845820_846245	DVL1	-0.462269
chr1_845820_846245	PUSL1	-0.531613
chr1_856434_856715	AGRN	0.41476
chr1_856434_856715	AURKAIP1	-0.493575
chr1_856434_856715	DVL1	-0.590596
chr1_856434_856715	GNB1	0.441108
chr1_856434_856715	PUSL1	-0.67499
chr1_859032_859363	AGRN	0.27566
chr1_859032_859363	DVL1	-0.427888
chr1_859032_859363	GNB1	0.452062
chr1_859032_859363	PUSL1	-0.421251
chr1_860029_860250	AGRN	0.29983
chr1_860029_860250	AURKAIP1	-0.431154
chr1_860029_860250	DVL1	-0.477802
chr1_860029_860250	PUSL1	-0.587597
chr1_875627_876034	AGRN	0.40956
chr1_875627_876034	AURKAIP1	-0.512421
chr1_875627_876034	DVL1	-0.560736
chr1_875627_876034	GNB1	0.409833
chr1_875627_876034	MXRA8	0.425778
chr1_875627_876034	PUSL1	-0.62893
chr1_875627_876034	SLC35E2B	0.416389
chr1_876121_876345	AGRN	0.40956
chr1_876121_876345	AURKAIP1	-0.512421
chr1_876121_876345	DVL1	-0.560736
chr1_876121_876345	GNB1	0.409833
chr1_876121_876345	MXRA8	0.425778
chr1_876121_876345	PUSL1	-0.62893
chr1_876121_876345	SLC35E2B	0.416389
chr1_876896_877263	AGRN	0.34676
chr1_876896_877263	AURKAIP1	-0.512421
chr1_876896_877263	DVL1	-0.560736
chr1_876896_877263	GNB1	0.409833
chr1_876896_877263	MXRA8	0.425778
chr1_876896_877263	PUSL1	-0.62893
chr1_876896_877263	SLC35E2B	0.416389
chr1_878550_878763	AGRN	0.27166
chr1_878550_878763	AURKAIP1	-0.512421
chr1_878550_878763	DVL1	-0.560736
chr1_878550_878763	GNB1	0.409833
chr1_878550_878763	MXRA8	0.425778
chr1_878550_878763	PUSL1	-0.62893
chr1_878550_878763	SLC35E2B	0.416389
chr1_879764_880075	AGRN	0.33431
chr1_879764_880075	AURKAIP1	-0.512421
chr1_879764_880075	DVL1	-0.560736
chr1_879764_880075	GNB1	0.409833
chr1_879764_880075	MXRA8	0.425778
chr1_879764_880075	PUSL1	-0.62893
chr1_879764_880075	SLC35E2B	0.416389
chr1_895729_896460	NOC2L	0.20854
chr1_901959_902534	AGRN	0.29086
chr1_911233_912052	AGRN	0.34453
chr1_934350_935147	AGRN	0.23247
chr1_934350_935147	AURKAIP1	-0.476159
chr1_934350_935147	DVL1	-0.545365
chr1_934350_935147	GNB1	0.461871
chr1_934350_935147	PUSL1	-0.635733
chr1_935156_936417	AGRN	0.24961
chr1_935156_936417	AURKAIP1	-0.476159
chr1_935156_936417	DVL1	-0.545365
chr1_935156_936417	GNB1	0.461871
chr1_935156_936417	PUSL1	-0.635733
chr1_937012_937401	AGRN	0.28504
chr1_937012_937401	AURKAIP1	-0.476159
chr1_937012_937401	DVL1	-0.545365
chr1_937012_937401	GNB1	0.461871
chr1_937012_937401	PUSL1	-0.635733
chr1_948497_949939	AURKAIP1	-0.446229
