RE	TG	Weight
chr1_564901_566054	NOC2L	0.462214
chr1_566711_567264	AURKAIP1	0.400246
chr1_566711_567264	NOC2L	0.435327
chr1_713787_714691	DVL1	-0.403956
chr1_715088_715372	DVL1	-0.403956
chr1_805067_805507	MXRA8	-0.43054
chr1_805067_805507	VWA1	-0.496724
chr1_839948_840315	DVL1	-0.461478
chr1_839948_840315	GNB1	0.466351
chr1_840728_840992	AURKAIP1	-0.489111
chr1_840728_840992	DVL1	-0.576037
chr1_840728_840992	GNB1	0.407437
chr1_840728_840992	SSU72	-0.453403
chr1_856450_856729	AGRN	0.41476
chr1_856450_856729	AURKAIP1	-0.493575
chr1_856450_856729	DVL1	-0.590596
chr1_856450_856729	GNB1	0.441108
chr1_856450_856729	SSU72	-0.431098
chr1_859085_859417	AGRN	0.27566
chr1_859085_859417	AURKAIP1	-0.431154
chr1_859085_859417	DVL1	-0.477802
chr1_859085_859417	GNB1	0.452062
chr1_859085_859417	SSU72	-0.404257
chr1_875579_875898	AGRN	0.40956
chr1_875579_875898	AURKAIP1	-0.512421
chr1_875579_875898	DVL1	-0.560736
chr1_875579_875898	GNB1	0.409833
chr1_875579_875898	MXRA8	0.425778
chr1_875579_875898	SLC35E2B	0.416389
chr1_875579_875898	SSU72	-0.427361
chr1_895785_896065	NOC2L	0.20854
chr1_935367_935842	AGRN	0.24961
chr1_935367_935842	AURKAIP1	-0.476159
chr1_935367_935842	CALML6	0.43385
chr1_935367_935842	DVL1	-0.545365
chr1_935367_935842	GNB1	0.461871
chr1_935853_936409	AGRN	0.24961
chr1_935853_936409	AURKAIP1	-0.476159
chr1_935853_936409	CALML6	0.43385
chr1_935853_936409	DVL1	-0.545365
chr1_935853_936409	GNB1	0.461871
chr1_937225_937460	AGRN	0.28504
chr1_937225_937460	AURKAIP1	-0.476159
chr1_937225_937460	CALML6	0.43385
chr1_937225_937460	DVL1	-0.545365
chr1_937225_937460	GNB1	0.461871
chr1_948477_949190	AURKAIP1	-0.446229
chr1_948477_949190	DVL1	-0.557048
chr1_954552_955598	AGRN	0.33215
chr1_954552_955598	DVL1	-0.459837
chr1_954552_955598	GNB1	0.431521
chr1_960439_960685	AGRN	0.29434
chr1_960439_960685	NOC2L	-0.22948
chr1_968296_968821	AGRN	0.21849
chr1_968296_968821	DVL1	-0.440237
chr1_975980_976437	NOC2L	0.33562
chr1_975980_976437	VWA1	-0.401362
chr1_994218_994463	AGRN	0.45705
chr1_1014785_1015063	AGRN	0.38378
chr1_1015119_1015427	AGRN	0.38378
chr1_1015596_1015804	AGRN	0.21328
chr1_1051165_1052018	GNB1	0.450757
chr1_1057489_1057800	DVL1	-0.409631
chr1_1064678_1064958	AGRN	0.449205
chr1_1091468_1091668	AGRN	0.453067
chr1_1092760_1094267	AGRN	0.453067
chr1_1143787_1144138	CALML6	0.467837
chr1_1226778_1227148	DVL1	-0.24645
chr1_1227218_1227507	DVL1	-0.24645
chr1_1234123_1234714	DVL1	-0.21166
chr1_1243231_1244151	DVL1	-0.30113
chr1_1253630_1253913	AURKAIP1	0.25025
chr1_1253630_1253913	DVL1	0.21396
chr1_1253630_1253913	SLC35E2B	-0.412064
chr1_1259731_1260572	ANKRD65	-0.23336
chr1_1259731_1260572	AURKAIP1	0.30402
chr1_1259731_1260572	DVL1	0.46313
chr1_1259731_1260572	MXRA8	-0.20918
chr1_1275645_1275916	AURKAIP1	0.30119
chr1_1275645_1275916	DVL1	0.42036
chr1_1284616_1285345	DVL1	-0.23269
chr1_1284616_1285345	MXRA8	0.2369
chr1_1293747_1294149	AURKAIP1	-0.26853
chr1_1293747_1294149	CALML6	0.425885
chr1_1293747_1294149	DVL1	-0.36693
chr1_1293747_1294149	MXRA8	0.34944
chr1_1310282_1311086	GNB1	0.436171
chr1_1334367_1335405	ANKRD65	-0.23841
chr1_1334367_1335405	AURKAIP1	0.22553
chr1_1334367_1335405	DVL1	-0.21228
chr1_1342232_1342889	ANKRD65	-0.29096
chr1_1342232_1342889	AURKAIP1	-0.20391
chr1_1342232_1342889	DVL1	-0.407818
chr1_1355412_1355664	ANKRD65	0.28339
chr1_1355412_1355664	AURKAIP1	-0.28867
chr1_1356591_1356852	ANKRD65	0.30921
chr1_1361027_1362315	AURKAIP1	-0.3084
chr1_1361027_1362315	DVL1	-0.20127
chr1_1362380_1362839	AGRN	0.411061
chr1_1362380_1362839	AURKAIP1	-0.3084
chr1_1362380_1362839	DVL1	-0.41127
chr1_1362380_1362839	SSU72	-0.44721
chr1_1365675_1366098	ANKRD65	0.29304
chr1_1365675_1366098	AURKAIP1	-0.32682
chr1_1365675_1366098	CALML6	0.55474
chr1_1365675_1366098	DVL1	-0.30593
chr1_1365675_1366098	MXRA8	0.24543
chr1_1365675_1366098	VWA1	0.20376
chr1_1368503_1369142	ANKRD65	0.30463
chr1_1368503_1369142	AURKAIP1	-0.21913
chr1_1368503_1369142	CALML6	0.55474
chr1_1368503_1369142	VWA1	0.30068
chr1_1369665_1370108	ANKRD65	0.31176
chr1_1369665_1370108	AURKAIP1	-0.41473
chr1_1369665_1370108	CALML6	0.55474
chr1_1369665_1370108	DVL1	-0.32793
chr1_1369665_1370108	VWA1	0.567256
chr1_1370864_1371123	ANKRD65	0.450131
chr1_1370864_1371123	CALML6	0.55474
chr1_1370864_1371123	DVL1	-0.298
chr1_1370864_1371123	VWA1	0.567256
chr1_1376277_1376553	CALML6	0.434447
chr1_1406463_1407323	ANKRD65	-0.22182
chr1_1406463_1407323	GNB1	0.44116
chr1_1406463_1407323	RER1	0.444497
chr1_1440022_1440603	VWA1	0.29668
chr1_1440877_1441168	VWA1	0.29668
chr1_1446804_1447705	ANKRD65	-0.21628
chr1_1446804_1447705	GNB1	0.470385
chr1_1446804_1447705	SSU72	-0.24772
chr1_1446804_1447705	VWA1	0.20095
chr1_1459124_1459324	SSU72	0.31486
chr1_1472033_1472408	SSU72	0.27888
chr1_1486267_1486639	SSU72	0.4061
chr1_1497470_1497709	SSU72	0.81342
chr1_1502446_1502902	SSU72	0.494933
chr1_1503286_1503562	SSU72	0.494933
chr1_1509238_1509438	DVL1	-0.456006
chr1_1509238_1509438	GNB1	0.452296
chr1_1509238_1509438	SSU72	-0.22084
chr1_1509653_1510808	DVL1	-0.456006
chr1_1509653_1510808	GNB1	0.452296
chr1_1509653_1510808	SSU72	-0.24846
chr1_1550424_1551379	SLC35E2B	0.28482
chr1_1565339_1566056	AURKAIP1	-0.477384
chr1_1565339_1566056	CALML6	0.472164
chr1_1565339_1566056	DVL1	-0.516582
chr1_1565339_1566056	PEX10	-0.423022
chr1_1565339_1566056	SLC35E2B	0.41197
chr1_1566351_1566754	AURKAIP1	-0.477384
chr1_1566351_1566754	CALML6	0.472164
chr1_1566351_1566754	DVL1	-0.516582
chr1_1566351_1566754	PEX10	-0.423022
chr1_1566351_1566754	SLC35E2B	0.30526
chr1_1566351_1566754	SSU72	-0.27404
chr1_1590276_1590833	SLC35E2B	0.21333
chr1_1659794_1660216	SLC35E2B	-0.21301
chr1_1680049_1680264	SLC35E2B	-0.32563
chr1_1693742_1694019	SLC35E2B	-0.29116
chr1_1695318_1695996	SLC35E2B	-0.20282
chr1_1727747_1728382	GNB1	-0.27836
chr1_1728440_1728778	GNB1	-0.40691
chr1_1757937_1758484	CALML6	-0.27715
chr1_1757937_1758484	GNB1	0.31917
chr1_1758944_1759183	GNB1	0.41033
chr1_1765448_1765802	GNB1	0.24281
chr1_1772943_1773471	CALML6	0.21977
chr1_1772943_1773471	GNB1	0.20763
chr1_1778547_1778884	CALML6	0.6048
chr1_1784162_1784897	CALML6	-0.25173
chr1_1784162_1784897	GNB1	-0.24317
chr1_1789998_1790454	CALML6	0.23899
chr1_1789998_1790454	GNB1	0.37589
chr1_1802737_1802949	CALML6	-0.22097
chr1_1802737_1802949	GNB1	-0.28516
chr1_1814783_1815202	CALML6	-0.24284
chr1_1821569_1822007	ANKRD65	-0.40161
chr1_1821569_1822007	CALML6	0.22244
chr1_1821569_1822007	FAM213B	0.436234
chr1_1822310_1823304	ANKRD65	-0.40161
chr1_1822310_1823304	FAM213B	0.436234
chr1_1822310_1823304	GNB1	0.25735
chr1_1823877_1824096	ANKRD65	-0.40161
chr1_1823877_1824096	FAM213B	0.436234
chr1_1833189_1833393	CALML6	-0.27537
chr1_1833189_1833393	GNB1	-0.38603
chr1_1837608_1837974	GNB1	0.38552
chr1_1850609_1851243	GNB1	0.26112
chr1_1875439_1875780	GABRD	0.2363
chr1_1875439_1875780	GNB1	0.23557
chr1_1875439_1875780	PRKCZ	0.443901
chr1_1878037_1878323	CALML6	0.25747
chr1_1878037_1878323	GABRD	0.45785
chr1_1891497_1891758	GABRD	0.28983
chr1_1891497_1891758	GNB1	0.33323
chr1_1891497_1891758	RER1	0.407216
chr1_1906739_1907218	GNB1	-0.2629
chr1_1914633_1914855	CALML6	-0.257
chr1_1914633_1914855	PRKCZ	0.25867
chr1_1919986_1920303	CALML6	-0.26871
chr1_1921744_1922027	AURKAIP1	-0.496533
chr1_1921744_1922027	CALML6	0.2193
chr1_1921744_1922027	DVL1	-0.462513
chr1_1921744_1922027	GABRD	0.40597
chr1_1927597_1927935	GABRD	0.32264
chr1_1935029_1935709	GABRD	0.30738
chr1_1976308_1976776	GABRD	0.42936
chr1_1977974_1978174	PRKCZ	0.37155
chr1_1991591_1991980	PRKCZ	0.20752
chr1_2004836_2005819	MXRA8	0.415692
chr1_2004836_2005819	PRKCZ	0.23965
chr1_2006507_2006800	PRKCZ	0.20038
chr1_2006892_2007098	PRKCZ	0.20038
chr1_2016522_2016799	GABRD	0.23825
chr1_2016522_2016799	PRKCZ	0.21835
chr1_2019240_2019833	MXRA8	0.415583
chr1_2019986_2020248	MXRA8	0.415583
chr1_2022018_2022222	GABRD	-0.2183
chr1_2022018_2022222	PRKCZ	0.32651
chr1_2023127_2023340	FAM213B	0.412534
chr1_2023127_2023340	PRKCZ	0.3948
chr1_2030477_2031027	PRKCZ	0.23324
chr1_2038463_2038699	PRKCZ	0.29151
chr1_2058813_2059063	PRKCZ	0.23751
chr1_2059793_2060061	GABRD	0.500575
chr1_2059793_2060061	PRKCZ	0.23751
chr1_2064427_2064952	DVL1	-0.443351
chr1_2064427_2064952	FAM213B	0.455816
chr1_2064427_2064952	GNB1	0.600511
chr1_2064954_2065253	DVL1	-0.443351
chr1_2064954_2065253	FAM213B	0.455816
chr1_2064954_2065253	GNB1	0.600511
chr1_2064954_2065253	SKI	0.34476
chr1_2065691_2065939	DVL1	-0.443351
chr1_2065691_2065939	FAM213B	0.455816
chr1_2065691_2065939	GNB1	0.600511
chr1_2065691_2065939	PRKCZ	0.31985
chr1_2065691_2065939	SKI	0.34476
chr1_2071084_2071718	DVL1	-0.443351
chr1_2071084_2071718	FAM213B	0.455816
chr1_2071084_2071718	GNB1	0.600511
chr1_2092325_2092768	SKI	-0.2645
chr1_2105717_2106083	CALML6	0.554458
chr1_2123714_2123957	SKI	0.33133
chr1_2135745_2137060	CALML6	0.421947
chr1_2135745_2137060	MXRA8	0.407412
chr1_2135745_2137060	SKI	0.39923
chr1_2143772_2144751	CALML6	0.428246
chr1_2143772_2144751	MXRA8	0.447714
chr1_2143772_2144751	SKI	0.21947
chr1_2145421_2145854	CALML6	0.428246
chr1_2145421_2145854	MXRA8	0.447714
chr1_2145421_2145854	SKI	0.45815
chr1_2161724_2161967	SKI	0.2465
chr1_2162132_2162410	SKI	0.20657
chr1_2188619_2189113	MXRA8	-0.425583
chr1_2188619_2189113	SKI	0.37694
chr1_2191145_2191713	MXRA8	-0.425583
chr1_2198939_2199159	CALML6	0.630296
chr1_2198939_2199159	SKI	0.21852
chr1_2208699_2209007	AURKAIP1	-0.533216
chr1_2208699_2209007	DVL1	-0.574847
chr1_2208699_2209007	GNB1	0.423912
chr1_2208699_2209007	MXRA8	0.500288
chr1_2208699_2209007	SKI	0.40866
chr1_2210729_2210985	AURKAIP1	-0.533216
chr1_2210729_2210985	DVL1	-0.574847
chr1_2210729_2210985	GNB1	0.423912
chr1_2210729_2210985	MXRA8	0.500288
chr1_2210729_2210985	SKI	0.26148
chr1_2222079_2222622	RER1	0.2002
chr1_2232452_2232817	MXRA8	-0.436476
chr1_2232452_2232817	VWA1	-0.447715
chr1_2236285_2236781	CALML6	0.527525
chr1_2236285_2236781	SKI	0.28166
chr1_2244392_2244638	AURKAIP1	-0.432469
chr1_2244392_2244638	CALML6	0.659239
chr1_2244392_2244638	PRKCZ	-0.413035
chr1_2244392_2244638	RER1	-0.29382
chr1_2244392_2244638	SKI	0.42204
chr1_2253616_2254366	AURKAIP1	-0.464202
chr1_2253616_2254366	CALML6	0.594229
chr1_2253616_2254366	DVL1	-0.414407
chr1_2253616_2254366	PEX10	-0.34042
chr1_2253616_2254366	RER1	-0.25063
chr1_2253616_2254366	SKI	0.37578
chr1_2313169_2313634	CALML6	0.519526
chr1_2313169_2313634	RER1	-0.20153
chr1_2313671_2313880	CALML6	0.519526
chr1_2313671_2313880	RER1	0.34198
chr1_2322601_2323510	RER1	0.31885
chr1_2343798_2344488	RER1	0.31161
chr1_2345777_2346135	RER1	0.20745
chr1_2351717_2351922	RER1	-0.28681
chr1_2375344_2375581	HES5	0.30442
chr1_2375344_2375581	PEX10	0.36876
chr1_2377856_2378185	HES5	0.45475
chr1_2377856_2378185	PEX10	0.33321
chr1_2378329_2378634	HES5	0.45475
chr1_2378329_2378634	PEX10	0.33321
chr1_2381226_2381434	PEX10	0.40618
chr1_2383996_2384585	PEX10	0.23176
chr1_2383996_2384585	RER1	0.35544
chr1_2387243_2387505	PEX10	0.46003
chr1_2421062_2421372	PEX10	0.22534
chr1_2421062_2421372	RER1	-0.20483
chr1_2424991_2425380	HES5	0.36253
chr1_2424991_2425380	PEX10	0.24956
chr1_2436206_2436468	PEX10	-0.21448
chr1_2458714_2459079	HES5	0.21728
chr1_2459511_2459783	HES5	0.21728
chr1_2461657_2462085	HES5	0.26885
chr1_2475018_2475352	HES5	0.21282
chr1_2487407_2488146	FAM213B	0.21269
chr1_2901843_2902180	DFFB	-0.452647
chr1_2901843_2902180	SKI	0.401395
chr1_2901843_2902180	WRAP73	-0.477613
chr1_3044368_3044722	WRAP73	-0.407934
chr1_3077686_3078409	HES5	0.433798
chr1_3236499_3236703	FAM213B	0.481219
chr1_3239857_3240305	FAM213B	0.481219
chr1_3311151_3311401	DFFB	-0.419229
chr1_3311151_3311401	WRAP73	-0.429135
chr1_3477119_3477321	WRAP73	-0.35567
chr1_3481832_3482057	WRAP73	0.24623
chr1_3493968_3494244	TPRG1L	-0.25099
chr1_3493968_3494244	WRAP73	-0.22795
chr1_3514712_3515033	TPRG1L	-0.30179
chr1_3514712_3515033	WRAP73	-0.38891
chr1_3518389_3518687	TPRG1L	-0.20433
chr1_3535469_3535930	TPRG1L	-0.2128
chr1_3540801_3541891	TPRG1L	0.37049
chr1_3540801_3541891	WRAP73	0.21809
chr1_3566214_3566878	WRAP73	0.40338
chr1_3612109_3612497	WRAP73	0.32864
chr1_3629619_3630046	TPRG1L	-0.20783
chr1_3630768_3631589	LRRC47	0.24667
chr1_3630768_3631589	TPRG1L	-0.2323
chr1_3630768_3631589	WRAP73	-0.26055
chr1_3641003_3641294	WRAP73	0.2359
chr1_3643927_3644127	LRRC47	0.24898
chr1_3643927_3644127	WRAP73	0.31752
chr1_3648120_3648638	WRAP73	-0.2237
chr1_3656730_3656953	WRAP73	-0.34022
chr1_3662561_3663016	LRRC47	0.40549
chr1_3662561_3663016	WRAP73	0.22528
chr1_3663717_3664210	WRAP73	0.31207
chr1_3688964_3689312	DFFB	0.29033
chr1_3694282_3694508	LRRC47	0.21047
chr1_3703973_3704241	DFFB	0.31288
chr1_3773453_3774382	DFFB	0.26923
chr1_3774399_3774609	DFFB	0.32707
chr1_3774629_3775107	DFFB	0.32707
chr1_3807463_3807685	DFFB	0.36911
chr1_3809379_3809639	LRRC47	0.23158
chr1_3816541_3816892	DFFB	0.435
chr1_3819241_3819457	DFFB	0.2079
chr1_3840741_3841383	DFFB	-0.37567
chr1_4740884_4741204	AJAP1	0.30793
chr1_4741205_4741571	AJAP1	0.30793
chr1_4760861_4761445	AJAP1	0.22246
chr1_4897852_4898170	AJAP1	0.455006
chr1_5805805_5806142	KLHL21	-0.408057
chr1_5956699_5957523	KLHL21	-0.40273
chr1_5975648_5976354	KCNAB2	0.43366
chr1_5975648_5976354	RPL22	0.445352
chr1_5989067_5989429	KCNAB2	0.62386
chr1_6035273_6035513	KCNAB2	0.23616
chr1_6051956_6052925	RPL22	0.407006
chr1_6085224_6085630	KCNAB2	0.25368
chr1_6086185_6086420	KCNAB2	0.25368
chr1_6217755_6218170	CHD5	0.57252
chr1_6224226_6224592	CHD5	0.29053
chr1_6224226_6224592	RPL22	-0.42529
chr1_6245833_6246182	RPL22	0.35107
chr1_6259318_6260401	RPL22	0.44556
chr1_6265202_6265577	RPL22	0.28765
chr1_6285698_6286059	RPL22	-0.28267
chr1_6295404_6296398	RPL22	0.38864
chr1_6305071_6305402	KLHL21	-0.470364
chr1_6305071_6305402	RPL22	0.518917
chr1_6306856_6307068	RPL22	0.459707
chr1_6320036_6320329	RPL22	0.50613
chr1_6321108_6321342	RPL22	0.40103
chr1_6323152_6323357	ACOT7	-0.21355
chr1_6323152_6323357	RPL22	0.47895
chr1_6333306_6333971	ACOT7	0.23081
chr1_6336485_6336807	KCNAB2	-0.458603
chr1_6336485_6336807	RPL22	0.32066
chr1_6347575_6348022	ACOT7	-0.25239
chr1_6347575_6348022	RPL22	0.30366
chr1_6381252_6381665	ACOT7	0.26666
chr1_6390343_6390951	RPL22	0.424947
chr1_6403545_6403821	ACOT7	0.522404
chr1_6418998_6419205	ACOT7	0.24332
chr1_6418998_6419205	KLHL21	-0.553151
chr1_6427384_6427666	ACOT7	0.36562
chr1_6444981_6445991	ACOT7	0.2868
chr1_6452382_6452649	RPL22	0.496813
chr1_6453243_6454541	RPL22	0.496813
chr1_6535619_6535866	KLHL21	-0.521089
chr1_6546587_6546878	KLHL21	-0.632792
chr1_6546587_6546878	RPL22	0.491462
chr1_6579996_6580378	KLHL21	-0.26705
chr1_6601974_6602210	KLHL21	0.26618
chr1_6614314_6614940	KLHL21	-0.23299
chr1_6614314_6614940	RPL22	0.533514
chr1_6615080_6615584	RPL22	0.533514
chr1_6624864_6625467	KLHL21	0.29261
chr1_6637971_6638172	KLHL21	0.28133
chr1_6647251_6647688	KLHL21	0.38919
chr1_6651314_6651614	KLHL21	0.587005
chr1_6651314_6651614	RPL22	-0.400813
chr1_6652299_6652541	KLHL21	0.68087
chr1_6661112_6661648	KLHL21	0.28795
chr1_6706547_6706841	KLHL21	-0.430992
chr1_6706547_6706841	RPL22	0.548918
chr1_6713669_6713944	KLHL21	-0.20401
chr1_6761354_6762248	RPL22	0.429202
chr1_6885944_6886437	KLHL21	-0.468493
chr1_6967308_6967555	KLHL21	-0.463171
chr1_7130471_7130834	ERRFI1	-0.463627
chr1_7130471_7130834	KLHL21	-0.41382
chr1_7130471_7130834	PER3	-0.482215
chr1_7130471_7130834	RPL22	0.546563
chr1_7267989_7268226	ACOT7	0.427767
chr1_7538243_7539265	KLHL21	-0.417235
chr1_7551598_7552077	KLHL21	-0.435936
chr1_7561192_7561499	ERRFI1	-0.428202
chr1_7727601_7728128	ERRFI1	-0.433163
chr1_7728370_7729108	ERRFI1	-0.433163
chr1_7729452_7729837	ERRFI1	-0.433163
chr1_7740199_7741171	ERRFI1	-0.470685
chr1_7740199_7741171	PER3	-0.453291
chr1_7755161_7755654	PER3	0.29297
chr1_7755779_7756225	PER3	0.29297
chr1_7786692_7786979	ERRFI1	-0.418471
chr1_7786692_7786979	PER3	-0.22232
chr1_7792147_7792716	PER3	0.29516
chr1_7808781_7809038	PER3	-0.2269
chr1_7812672_7813230	ERRFI1	-0.458192
chr1_7812672_7813230	PER3	-0.41833
chr1_7830629_7831794	ERRFI1	-0.454589
chr1_7830629_7831794	PER3	-0.25455
chr1_7843458_7844828	PER3	0.2023
chr1_7868328_7868592	PER3	-0.37126
chr1_7887301_7887542	ERRFI1	-0.416433
chr1_7946478_7946863	PARK7	-0.31836
chr1_7962667_7963137	ERRFI1	-0.548538
chr1_7962667_7963137	PARK7	-0.22509
chr1_8002358_8002817	ERRFI1	-0.496508
chr1_8002358_8002817	PARK7	0.23772
chr1_8013761_8014703	ERRFI1	-0.520563
chr1_8013761_8014703	PARK7	0.25957
chr1_8021129_8022275	ERRFI1	-0.441742
chr1_8021129_8022275	PARK7	0.21085
chr1_8035356_8035753	ERRFI1	0.25982
chr1_8035356_8035753	PARK7	0.21899
chr1_8035972_8036220	PARK7	0.21899
chr1_8042309_8042833	ERRFI1	-0.49122
chr1_8042309_8042833	PARK7	0.2942
chr1_8064151_8064709	ERRFI1	0.29302
chr1_8064861_8065352	ERRFI1	0.29302
chr1_8072387_8072680	ERRFI1	0.33357
chr1_8074962_8075572	ERRFI1	-0.28153
chr1_8074962_8075572	PARK7	0.44102
chr1_8077688_8078318	PARK7	0.26148
chr1_8085886_8086909	PARK7	0.31281
chr1_8229825_8230075	PER3	-0.474549
chr1_8262636_8262894	ERRFI1	0.595044
chr1_8498578_8498826	ERRFI1	-0.521721
chr1_8498578_8498826	SPSB1	-0.51009
chr1_8498984_8499526	ERRFI1	-0.521721
chr1_8498984_8499526	SPSB1	-0.51009
chr1_8508943_8509532	SPSB1	-0.410841
chr1_8515580_8515793	SPSB1	-0.432816
chr1_8520106_8520470	SPSB1	-0.478312
chr1_8523165_8523705	SPSB1	-0.478312
chr1_8525130_8525393	SPSB1	-0.478312
chr1_8570001_8570858	ERRFI1	-0.471503
chr1_8570001_8570858	SPSB1	-0.410825
chr1_8576895_8577606	ERRFI1	-0.473026
chr1_8576895_8577606	SPSB1	-0.561441
chr1_8578243_8578458	ERRFI1	-0.473026
chr1_8578243_8578458	SPSB1	-0.561441
chr1_8585283_8586395	ERRFI1	-0.574842
chr1_8585283_8586395	SPSB1	-0.560811
chr1_8621189_8621556	ERRFI1	-0.573635
chr1_8621189_8621556	PER3	-0.412894
chr1_8621189_8621556	SPSB1	-0.543914
chr1_8631285_8631597	SLC25A33	-0.450236
chr1_8631285_8631597	SPSB1	-0.511145
chr1_8650719_8651210	ERRFI1	-0.417098
chr1_8658057_8658861	SLC25A33	-0.511476
chr1_8658057_8658861	SPSB1	-0.475331
chr1_8658937_8659205	SLC25A33	-0.511476
chr1_8658937_8659205	SPSB1	-0.475331
chr1_8689296_8690325	ENO1	0.402385
chr1_8720394_8720903	ERRFI1	-0.436293
chr1_8720394_8720903	PER3	-0.417773
chr1_8720394_8720903	SPSB1	-0.401389
chr1_8721794_8722221	ERRFI1	-0.436293
chr1_8721794_8722221	PER3	-0.417773
chr1_8721794_8722221	SPSB1	-0.401389
chr1_8731292_8731719	ERRFI1	-0.436293
chr1_8731292_8731719	PER3	-0.417773
chr1_8731292_8731719	SPSB1	-0.401389
chr1_8739389_8739727	PER3	-0.476985
chr1_8739389_8739727	SLC25A33	-0.482647
chr1_8761482_8761896	ERRFI1	-0.518134
chr1_8761482_8761896	PER3	-0.414393
chr1_8761482_8761896	SPSB1	-0.554685
chr1_8763095_8763961	ERRFI1	-0.518134
chr1_8763095_8763961	PER3	-0.414393
chr1_8763095_8763961	SPSB1	-0.554685
chr1_8772014_8772801	ERRFI1	-0.450655
chr1_8772014_8772801	PER3	-0.40828
chr1_8772014_8772801	SLC25A33	-0.439675
chr1_8772865_8773290	ERRFI1	-0.450655
chr1_8772865_8773290	PER3	-0.40828
chr1_8772865_8773290	SLC25A33	-0.439675
chr1_8800233_8800481	ENO1	0.449524
chr1_8874968_8875281	ERRFI1	-0.552016
chr1_8874968_8875281	SPSB1	-0.628853
chr1_8875527_8876180	ERRFI1	-0.552016
chr1_8875527_8876180	SPSB1	-0.628853
chr1_8876462_8876860	ENO1	-0.21354
chr1_8876462_8876860	ERRFI1	-0.552016
chr1_8876462_8876860	SPSB1	-0.628853
chr1_8877545_8878351	ENO1	-0.21354
chr1_8877545_8878351	ERRFI1	-0.552016
chr1_8877545_8878351	SPSB1	-0.628853
chr1_8924924_8925192	ENO1	-0.21978
