RE	TG	Weight
chr1_564893_565414	ATAD3A	0.412529
chr1_567192_567694	ATAD3A	0.453993
chr1_567192_567694	AURKAIP1	0.400246
chr1_567192_567694	NOC2L	0.435327
chr1_567192_567694	PUSL1	0.421578
chr1_567844_568254	OR4F3	0.463715
chr1_569187_570063	OR4F3	0.460289
chr1_569187_570063	PUSL1	0.43885
chr1_713784_714670	DVL1	-0.403956
chr1_752437_752866	PUSL1	-0.410281
chr1_753310_753617	PUSL1	-0.410281
chr1_754012_754574	PUSL1	-0.410281
chr1_805102_805555	MXRA8	-0.43054
chr1_805102_805555	VWA1	-0.496724
chr1_839861_840280	DVL1	-0.461478
chr1_839861_840280	GNB1	0.466351
chr1_839861_840280	NADK	-0.422763
chr1_839861_840280	PUSL1	-0.44313
chr1_839861_840280	SAMD11	0.33882
chr1_859038_859379	AGRN	0.27566
chr1_859038_859379	AURKAIP1	-0.431154
chr1_859038_859379	DVL1	-0.477802
chr1_859038_859379	GNB1	0.452062
chr1_859038_859379	ISG15	-0.53117
chr1_859038_859379	NADK	-0.509492
chr1_859038_859379	PUSL1	-0.587597
chr1_859038_859379	SAMD11	0.26121
chr1_859038_859379	SSU72	-0.404257
chr1_875635_875927	AGRN	0.40956
chr1_875635_875927	AURKAIP1	-0.512421
chr1_875635_875927	DVL1	-0.560736
chr1_875635_875927	GNB1	0.409833
chr1_875635_875927	ISG15	-0.55738
chr1_875635_875927	MXRA8	0.425778
chr1_875635_875927	NADK	-0.493352
chr1_875635_875927	PUSL1	-0.62893
chr1_875635_875927	SAMD11	0.613343
chr1_875635_875927	SLC35E2B	0.416389
chr1_875635_875927	SSU72	-0.427361
chr1_876946_877216	AGRN	0.34676
chr1_876946_877216	AURKAIP1	-0.512421
chr1_876946_877216	DVL1	-0.560736
chr1_876946_877216	GNB1	0.409833
chr1_876946_877216	ISG15	-0.55738
chr1_876946_877216	MXRA8	0.425778
chr1_876946_877216	NADK	-0.493352
chr1_876946_877216	PUSL1	-0.62893
chr1_876946_877216	SAMD11	0.43236
chr1_876946_877216	SLC35E2B	0.416389
chr1_876946_877216	SSU72	-0.427361
chr1_879504_880267	AGRN	0.33431
chr1_879504_880267	AURKAIP1	-0.512421
chr1_879504_880267	DVL1	-0.560736
chr1_879504_880267	GNB1	0.409833
chr1_879504_880267	ISG15	-0.55738
chr1_879504_880267	MXRA8	0.425778
chr1_879504_880267	NADK	-0.493352
chr1_879504_880267	PUSL1	-0.62893
chr1_879504_880267	SAMD11	0.49215
chr1_879504_880267	SLC35E2B	0.416389
chr1_879504_880267	SSU72	-0.427361
chr1_894335_895015	ISG15	0.22522
chr1_895740_895947	ISG15	0.22522
chr1_895740_895947	NOC2L	0.20854
chr1_902076_902580	AGRN	0.29086
chr1_902076_902580	ISG15	0.38872
chr1_911494_911742	AGRN	0.34453
chr1_911494_911742	SAMD11	0.30237
chr1_935368_936376	AGRN	0.24961
chr1_935368_936376	AURKAIP1	-0.476159
chr1_935368_936376	DVL1	-0.545365
chr1_935368_936376	GNB1	0.461871
chr1_935368_936376	ISG15	-0.435505
chr1_935368_936376	NADK	-0.608391
chr1_935368_936376	PUSL1	-0.635733
chr1_935368_936376	SAMD11	0.21739
chr1_937215_937459	AGRN	0.28504
chr1_937215_937459	AURKAIP1	-0.476159
chr1_937215_937459	DVL1	-0.545365
chr1_937215_937459	GNB1	0.461871
chr1_937215_937459	ISG15	-0.435505
chr1_937215_937459	NADK	-0.608391
chr1_937215_937459	PUSL1	-0.635733
chr1_948516_949524	AURKAIP1	-0.446229
chr1_948516_949524	DVL1	-0.557048
chr1_948516_949524	NADK	-0.454951
chr1_948516_949524	PUSL1	-0.500526
chr1_954512_955663	AGRN	0.33215
chr1_954512_955663	DVL1	-0.459837
chr1_954512_955663	GNB1	0.431521
chr1_954512_955663	NADK	-0.429614
chr1_954512_955663	PUSL1	-0.489888
chr1_954512_955663	SAMD11	0.33112
chr1_960428_960684	AGRN	0.29434
chr1_960428_960684	NOC2L	-0.22948
chr1_968110_968702	AGRN	0.21849
chr1_968110_968702	DVL1	-0.440237
chr1_976080_976396	NOC2L	0.33562
chr1_976080_976396	VWA1	-0.401362
chr1_994808_995225	ISG15	0.53276
chr1_1014817_1015883	AGRN	0.21328
chr1_1014817_1015883	ISG15	0.21063
chr1_1016817_1017019	AGRN	0.467687
chr1_1051165_1052256	GNB1	0.450757
chr1_1057345_1057849	DVL1	-0.409631
chr1_1092816_1094163	AGRN	0.453067
chr1_1208732_1209935	MXRA8	-0.21836
chr1_1208732_1209935	PUSL1	0.2054
chr1_1216897_1217304	NADK	0.47326
chr1_1216897_1217304	PUSL1	0.26703
chr1_1226701_1226942	DVL1	-0.24645
chr1_1227208_1227598	DVL1	-0.24645
chr1_1234240_1234574	DVL1	-0.21166
chr1_1234240_1234574	PUSL1	-0.30832
chr1_1243226_1244169	DVL1	-0.30113
chr1_1253589_1253970	AURKAIP1	0.25025
chr1_1253589_1253970	DVL1	0.21396
chr1_1253589_1253970	MRPL20	0.20174
chr1_1253589_1253970	SLC35E2B	-0.412064
chr1_1259675_1260582	ANKRD65	-0.23336
chr1_1259675_1260582	AURKAIP1	0.30402
chr1_1259675_1260582	DVL1	0.46313
chr1_1259675_1260582	MXRA8	-0.20918
chr1_1268644_1268871	ANKRD65	0.24621
chr1_1268644_1268871	AURKAIP1	0.33289
chr1_1268644_1268871	DVL1	0.5891
chr1_1268644_1268871	GNB1	-0.507617
chr1_1268644_1268871	MRPL20	0.21684
chr1_1268644_1268871	PUSL1	0.3753
chr1_1284454_1285324	DVL1	-0.23269
chr1_1284454_1285324	MXRA8	0.2369
chr1_1284454_1285324	PUSL1	-0.35903
chr1_1287285_1287529	ANKRD65	0.23002
chr1_1287285_1287529	MXRA8	0.20841
chr1_1287285_1287529	NADK	-0.401185
chr1_1287285_1287529	PRKCZ	-0.416727
chr1_1287285_1287529	PUSL1	-0.2316
chr1_1287285_1287529	SKI	0.41258
chr1_1293759_1294196	AURKAIP1	-0.26853
chr1_1293759_1294196	DVL1	-0.36693
chr1_1293759_1294196	MXRA8	0.34944
chr1_1293759_1294196	NADK	-0.408636
chr1_1293759_1294196	PUSL1	-0.47306
chr1_1307455_1307767	VWA1	-0.409709
chr1_1310300_1311076	GNB1	0.436171
chr1_1334422_1335359	ANKRD65	-0.23841
chr1_1334422_1335359	AURKAIP1	0.22553
chr1_1334422_1335359	DVL1	-0.21228
chr1_1342286_1343077	ANKRD65	-0.29096
chr1_1342286_1343077	AURKAIP1	-0.20391
chr1_1342286_1343077	DVL1	-0.407818
chr1_1354583_1354818	ANKRD65	0.31699
chr1_1354583_1354818	AURKAIP1	-0.28867
chr1_1355118_1355866	ANKRD65	0.28339
chr1_1355118_1355866	ATAD3A	-0.3276
chr1_1355118_1355866	AURKAIP1	-0.28867
chr1_1355118_1355866	ISG15	-0.422069
chr1_1356706_1356966	ANKRD65	0.30921
chr1_1362617_1362823	AGRN	0.411061
chr1_1362617_1362823	AURKAIP1	-0.27667
chr1_1362617_1362823	DVL1	-0.41127
chr1_1362617_1362823	ISG15	-0.400557
chr1_1362617_1362823	NADK	-0.465008
chr1_1362617_1362823	PUSL1	-0.508884
chr1_1362617_1362823	SAMD11	0.506347
chr1_1362617_1362823	SSU72	-0.44721
chr1_1365522_1366174	ANKRD65	0.29304
chr1_1365522_1366174	ATAD3A	-0.3617
chr1_1365522_1366174	AURKAIP1	-0.32682
chr1_1365522_1366174	DVL1	-0.30593
chr1_1365522_1366174	ISG15	-0.532113
chr1_1365522_1366174	MMP23B	0.458698
chr1_1365522_1366174	MXRA8	0.24543
chr1_1365522_1366174	NADK	-0.496793
chr1_1365522_1366174	PUSL1	-0.519688
chr1_1365522_1366174	VWA1	0.20376
chr1_1369687_1369936	ANKRD65	0.31176
chr1_1369687_1369936	ATAD3A	-0.37903
chr1_1369687_1369936	AURKAIP1	-0.41473
chr1_1369687_1369936	DVL1	-0.32793
chr1_1369687_1369936	ISG15	-0.532113
chr1_1369687_1369936	MMP23B	0.458698
chr1_1369687_1369936	MRPL20	-0.2194
chr1_1369687_1369936	NADK	-0.496793
chr1_1369687_1369936	PUSL1	-0.519688
chr1_1369687_1369936	VWA1	0.567256
chr1_1370877_1371114	ANKRD65	0.450131
chr1_1370877_1371114	ATAD3A	-0.37903
chr1_1370877_1371114	DVL1	-0.298
chr1_1370877_1371114	ISG15	-0.532113
chr1_1370877_1371114	MMP23B	0.458698
chr1_1370877_1371114	NADK	-0.496793
chr1_1370877_1371114	PUSL1	-0.519688
chr1_1370877_1371114	VWA1	0.567256
chr1_1397650_1398081	ATAD3A	0.33831
chr1_1397650_1398081	AURKAIP1	0.22559
chr1_1397650_1398081	MRPL20	0.32499
chr1_1398119_1398368	ATAD3A	0.33831
