RE	TG	Weight
chr1_565548_565845	ATAD3A	0.469637
chr1_565548_565845	NOC2L	0.463565
chr1_567191_567708	ATAD3A	0.453993
chr1_567191_567708	AURKAIP1	0.400246
chr1_567191_567708	NOC2L	0.435327
chr1_567191_567708	PUSL1	0.421578
chr1_567808_568360	OR4F3	0.463715
chr1_569033_570251	ATAD3A	0.404463
chr1_569033_570251	OR4F3	0.21387
chr1_569033_570251	PUSL1	0.43885
chr1_713853_714278	DVL1	-0.403956
chr1_752721_753021	PUSL1	-0.410281
chr1_873433_873671	AGRN	0.35301
chr1_917046_917925	AGRN	-0.20979
chr1_934415_934683	AGRN	0.23247
chr1_934415_934683	AURKAIP1	-0.476159
chr1_934415_934683	DVL1	-0.545365
chr1_934415_934683	GNB1	0.461871
chr1_934415_934683	PUSL1	-0.635733
chr1_935265_935949	AGRN	0.24961
chr1_935265_935949	AURKAIP1	-0.476159
chr1_935265_935949	DVL1	-0.545365
chr1_935265_935949	GNB1	0.461871
chr1_935265_935949	PUSL1	-0.635733
chr1_937140_937387	AGRN	0.28504
chr1_937140_937387	AURKAIP1	-0.476159
chr1_937140_937387	DVL1	-0.545365
chr1_937140_937387	GNB1	0.461871
chr1_937140_937387	PUSL1	-0.635733
chr1_948639_949498	AURKAIP1	-0.446229
chr1_948639_949498	DVL1	-0.557048
chr1_948639_949498	PUSL1	-0.500526
chr1_954609_955688	AGRN	0.33215
chr1_954609_955688	DVL1	-0.459837
chr1_954609_955688	GNB1	0.431521
chr1_954609_955688	PUSL1	-0.489888
chr1_956500_956700	AGRN	0.34373
chr1_956500_956700	DVL1	-0.459837
chr1_956500_956700	GNB1	0.431521
chr1_956500_956700	PUSL1	-0.489888
chr1_967870_968078	AGRN	0.30364
chr1_968212_968728	AGRN	0.21849
chr1_968212_968728	DVL1	-0.440237
chr1_976115_976355	NOC2L	0.33562
chr1_1014958_1015195	AGRN	0.38378
chr1_1015223_1015877	AGRN	0.21328
chr1_1051155_1052098	GNB1	0.450757
chr1_1057485_1057726	DVL1	-0.409631
chr1_1092756_1093533	AGRN	0.453067
chr1_1093618_1094046	AGRN	0.453067
chr1_1217037_1217375	PUSL1	0.27615
chr1_1243184_1244045	DVL1	-0.30113
chr1_1253651_1253876	AURKAIP1	0.25025
chr1_1253651_1253876	DVL1	0.21396
chr1_1253651_1253876	MRPL20	0.20174
chr1_1253651_1253876	SLC35E2B	-0.412064
chr1_1259702_1260754	AURKAIP1	0.30402
chr1_1259702_1260754	DVL1	0.46313
chr1_1259702_1260754	MXRA8	-0.20918
chr1_1284431_1285290	DVL1	-0.23269
chr1_1284431_1285290	MXRA8	0.2369
chr1_1284431_1285290	PUSL1	-0.35903
chr1_1295919_1296126	MXRA8	0.38107
chr1_1295919_1296126	PUSL1	-0.20886
chr1_1310295_1310965	GNB1	0.436171
chr1_1334602_1335245	DVL1	-0.21228
chr1_1342502_1343034	AURKAIP1	-0.20391
chr1_1342502_1343034	DVL1	-0.407818
chr1_1355247_1355865	ATAD3A	-0.3276
chr1_1355247_1355865	AURKAIP1	-0.28867
chr1_1365661_1365966	ATAD3A	-0.3617
chr1_1365661_1365966	AURKAIP1	-0.32682
chr1_1365661_1365966	DVL1	-0.30593
chr1_1365661_1365966	MMP23B	0.458698
chr1_1365661_1365966	MXRA8	0.24543
chr1_1365661_1365966	PUSL1	-0.519688
chr1_1367177_1367467	ATAD3A	-0.24378
chr1_1367177_1367467	MMP23B	0.458698
chr1_1367177_1367467	MXRA8	0.31856
chr1_1367177_1367467	PUSL1	-0.519688
chr1_1397152_1397431	AURKAIP1	0.21114
chr1_1397650_1398030	ATAD3A	0.33831
chr1_1397650_1398030	AURKAIP1	0.22559
chr1_1397650_1398030	MRPL20	0.32499
chr1_1406766_1407318	GNB1	0.44116
chr1_1406766_1407318	RER1	0.444497
chr1_1417160_1417360	MRPL20	0.20833
chr1_1431801_1432030	MRPL20	0.20343
chr1_1446876_1447607	GNB1	0.470385
chr1_1475598_1476324	PUSL1	-0.412526
chr1_1509720_1510610	DVL1	-0.456006
chr1_1509720_1510610	GNB1	0.452296
chr1_1509720_1510610	PUSL1	-0.420892
chr1_1550515_1551610	SLC35E2B	0.28482
chr1_1590019_1590927	SLC35E2B	0.21333
chr1_1676941_1678367	SLC35E2B	-0.23232
chr1_1790043_1790378	GNB1	0.37589
chr1_1821879_1823234	GNB1	0.25735
chr1_1837690_1837914	GNB1	0.38552
chr1_1850368_1851310	GNB1	-0.35614
chr1_1875460_1875754	GNB1	0.23557
chr1_1891310_1891642	GNB1	0.33323
chr1_1891310_1891642	RER1	0.407216
chr1_2064404_2065305	DVL1	-0.443351
chr1_2064404_2065305	GNB1	0.600511
chr1_2064404_2065305	SKI	0.34476
chr1_2066916_2067201	DVL1	-0.443351
chr1_2066916_2067201	GNB1	0.600511
chr1_2066916_2067201	SKI	0.25279
chr1_2126054_2126917	PUSL1	-0.468552
chr1_2135764_2136379	MXRA8	0.407412
chr1_2135764_2136379	PUSL1	-0.412685
